timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
0.0,1,0,0,5208
0.0,1,0,1,4957
0.0,1,0,2,3103
0.0,1,0,3,2710
0.0,1,0,4,2421
0.0,1,0,5,2544
0.0,1,0,6,2321
0.0,1,0,7,2444
0.0,1,0,8,2457
0.0,1,0,9,2344
0.0,1,0,10,2392
0.0,1,0,11,2438
0.0,1,0,12,2298
0.0,1,0,13,2124
0.0,1,0,14,2273
0.0,1,0,15,2190
0.0,1,0,16,2205
0.0,1,0,17,2302
0.0,1,0,18,2404
0.0,1,0,19,2437
0.0,1,0,20,2336
0.0,1,0,21,2322
0.0,1,0,22,2391
0.0,1,0,23,2427
0.0,1,0,24,2476
0.0,1,0,25,2326
0.0,1,0,26,2263
0.0,1,0,27,2414
0.0,1,0,28,2382
0.0,1,0,29,2302
0.0,1,0,30,2452
0.0,1,0,31,2398
0.0,1,0,32,2422
0.0,1,0,33,2293
0.0,1,0,34,2319
0.0,1,0,35,2216
0.0,1,0,36,2274
0.0,1,0,37,2391
0.0,1,0,38,2394
0.0,1,0,39,2462
0.0,1,0,40,2375
0.0,1,0,41,2308
0.0,1,0,42,2349
0.0,1,0,43,2462
0.0,1,0,44,2365
0.0,1,0,45,2441
0.0,1,0,46,2355
0.0,1,0,47,1881
0.0,1,0,48,2271
0.0,1,0,49,2137
0.0,1,0,50,2351
0.0,1,0,51,2322
0.0,1,0,52,2284
0.0,1,0,53,2265
0.0,1,0,54,2360
0.0,1,0,55,2451
0.0,1,0,56,2404
0.0,1,0,57,2208
0.0,1,0,58,2317
0.0,1,0,59,2229
0.0,1,0,60,2258
0.0,1,0,61,2297
0.0,1,0,62,2252
0.0,1,0,63,2396
0.0,1,0,64,2383
0.0,1,0,65,2191
0.0,1,0,66,2365
0.0,1,0,67,2513
0.0,1,0,68,2406
0.0,1,0,69,2368
0.0,1,0,70,2386
0.0,1,0,71,2318
0.0,1,0,72,2366
0.0,1,0,73,2316
0.0,1,0,74,2330
0.0,1,0,75,2301
0.0,1,0,76,2357
0.0,1,0,77,2350
0.0,1,0,78,2400
0.0,1,0,79,2320
0.0,1,0,80,2319
0.0,1,0,81,2219
0.0,1,0,82,2293
0.0,1,0,83,2378
0.0,1,0,84,2331
0.0,1,0,85,2372
0.0,1,0,86,2404
0.0,1,0,87,2437
0.0,1,0,88,2364
0.0,1,0,89,2389
0.0,1,0,90,2274
0.0,1,0,91,2228
0.0,1,0,92,2384
0.0,1,0,93,2253
0.0,1,0,94,2337
0.0,1,0,95,2364
0.0,1,0,96,2306
0.0,1,0,97,2394
0.0,1,0,98,2459
0.0,1,0,99,2456
0.0,1,0,100,2273
0.0,1,0,101,2212
0.0,1,0,102,2197
0.0,1,0,103,2162
0.0,1,0,104,2381
0.0,1,0,105,2455
0.0,1,0,106,2290
0.0,1,0,107,2439
0.0,1,0,108,2475
0.0,1,0,109,2363
0.0,1,0,110,2408
0.0,1,0,111,2261
0.0,1,0,112,2229
0.0,1,0,113,2109
0.0,1,0,114,2204
0.0,1,0,115,2186
0.0,1,0,116,2412
0.0,1,0,117,2335
0.0,1,0,118,2381
0.0,1,0,119,2252
0.0,1,0,120,2351
0.0,1,0,121,2305
0.0,1,0,122,2406
0.0,1,0,123,2475
0.0,1,0,124,2518
0.0,1,0,125,2681
0.0,1,0,126,3054
0.0,1,0,127,4956
0.0,1,1,0,5202
0.0,1,1,1,4949
0.0,1,1,2,3051
0.0,1,1,3,2757
0.0,1,1,4,2484
0.0,1,1,5,2643
0.0,1,1,6,2293
0.0,1,1,7,2488
0.0,1,1,8,2587
0.0,1,1,9,2472
0.0,1,1,10,2365
0.0,1,1,11,2312
0.0,1,1,12,2335
0.0,1,1,13,2146
0.0,1,1,14,2381
0.0,1,1,15,2356
0.0,1,1,16,2489
0.0,1,1,17,2351
0.0,1,1,18,2422
0.0,1,1,19,2537
0.0,1,1,20,2321
0.0,1,1,21,2324
0.0,1,1,22,2534
0.0,1,1,23,2513
0.0,1,1,24,2456
0.0,1,1,25,2479
0.0,1,1,26,2463
0.0,1,1,27,2462
0.0,1,1,28,2479
0.0,1,1,29,2453
0.0,1,1,30,2509
0.0,1,1,31,2462
0.0,1,1,32,2476
0.0,1,1,33,2405
0.0,1,1,34,2432
0.0,1,1,35,2401
0.0,1,1,36,2235
0.0,1,1,37,2459
0.0,1,1,38,2424
0.0,1,1,39,2504
0.0,1,1,40,2271
0.0,1,1,41,2431
0.0,1,1,42,2346
0.0,1,1,43,2486
0.0,1,1,44,2359
0.0,1,1,45,2338
0.0,1,1,46,2284
0.0,1,1,47,2218
0.0,1,1,48,2281
0.0,1,1,49,2222
0.0,1,1,50,2456
0.0,1,1,51,2322
0.0,1,1,52,2388
0.0,1,1,53,2288
0.0,1,1,54,2368
0.0,1,1,55,2526
0.0,1,1,56,2470
0.0,1,1,57,2274
0.0,1,1,58,2286
0.0,1,1,59,2344
0.0,1,1,60,2390
0.0,1,1,61,2455
0.0,1,1,62,2367
0.0,1,1,63,2453
0.0,1,1,64,2507
0.0,1,1,65,2412
0.0,1,1,66,2405
0.0,1,1,67,2544
0.0,1,1,68,2587
0.0,1,1,69,2479
0.0,1,1,70,2441
0.0,1,1,71,2278
0.0,1,1,72,2291
0.0,1,1,73,2294
0.0,1,1,74,2330
0.0,1,1,75,2300
0.0,1,1,76,2469
0.0,1,1,77,2449
0.0,1,1,78,2412
0.0,1,1,79,2434
0.0,1,1,80,2337
0.0,1,1,81,2374
0.0,1,1,82,2358
0.0,1,1,83,2287
0.0,1,1,84,2432
0.0,1,1,85,2360
0.0,1,1,86,2356
0.0,1,1,87,2443
0.0,1,1,88,2432
0.0,1,1,89,2487
0.0,1,1,90,2362
0.0,1,1,91,2390
0.0,1,1,92,2400
0.0,1,1,93,2312
0.0,1,1,94,2348
0.0,1,1,95,2289
0.0,1,1,96,2254
0.0,1,1,97,2343
0.0,1,1,98,2509
0.0,1,1,99,2408
0.0,1,1,100,2339
0.0,1,1,101,2270
0.0,1,1,102,2396
0.0,1,1,103,2233
0.0,1,1,104,2425
0.0,1,1,105,2486
0.0,1,1,106,2322
0.0,1,1,107,2547
0.0,1,1,108,2615
0.0,1,1,109,2470
0.0,1,1,110,2512
0.0,1,1,111,2417
0.0,1,1,112,2190
0.0,1,1,113,2122
0.0,1,1,114,2258
0.0,1,1,115,2382
0.0,1,1,116,2313
0.0,1,1,117,2312
0.0,1,1,118,2421
0.0,1,1,119,2361
