timestamp_s,frame_number,point_index,snr,noise
2361.746008,767,0,15.8,91.4
2361.746008,767,1,15.8,91.4
2361.746008,767,2,18.5,93.4
2361.746008,767,3,18.5,93.4
2361.746008,767,4,15.3,92.2
2362.755302,768,0,20.3,87.60000000000001
2362.755302,768,1,19.200000000000003,93.0
2362.755302,768,2,19.200000000000003,93.0
2362.755302,768,3,45.300000000000004,59.300000000000004
2362.755302,768,4,33.6,54.900000000000006
2362.755302,768,5,29.3,56.300000000000004
2362.755302,768,6,29.3,56.300000000000004
2362.755302,768,7,28.8,56.800000000000004
2362.755302,768,8,28.8,56.800000000000004
2363.748222,769,0,19.200000000000003,88.5
2363.748222,769,1,18.400000000000002,93.4
2363.748222,769,2,18.400000000000002,93.4
2363.748222,769,3,15.200000000000001,92.0
2363.748222,769,4,24.700000000000003,59.5
2363.748222,769,5,24.700000000000003,59.5
2364.749374,770,0,19.8,87.9
2364.749374,770,1,18.6,93.30000000000001
2364.749374,770,2,18.6,93.30000000000001
2364.749374,770,3,35.5,56.300000000000004
2364.749374,770,4,18.2,69.4
2364.749374,770,5,18.2,69.4
2364.749374,770,6,33.7,55.400000000000006
2364.749374,770,7,24.3,65.8
2364.749374,770,8,24.3,65.8
2364.749374,770,9,44.7,52.7
2364.749374,770,10,19.8,60.0
2364.749374,770,11,19.8,60.0
2365.754799,771,0,20.700000000000003,87.10000000000001
2365.754799,771,1,19.3,92.60000000000001
2365.754799,771,2,19.3,92.60000000000001
2365.754799,771,3,37.9,55.1
2365.754799,771,4,21.6,66.5
2365.754799,771,5,21.6,66.5
2365.754799,771,6,40.900000000000006,54.2
2365.754799,771,7,23.900000000000002,59.5
2365.754799,771,8,41.900000000000006,54.5
2366.754938,772,0,20.8,87.0
2366.754938,772,1,19.1,92.80000000000001
2366.754938,772,2,19.1,92.80000000000001
2366.754938,772,3,45.6,54.1
2366.754938,772,4,24.1,64.4
2366.754938,772,5,24.1,64.4
2366.754938,772,6,39.0,55.400000000000006
2366.754938,772,7,18.5,56.900000000000006
2366.754938,772,8,20.1,55.6
2367.747445,773,0,20.3,87.60000000000001
2367.747445,773,1,18.400000000000002,93.5
2367.747445,773,2,18.400000000000002,93.5
2367.747445,773,3,26.900000000000002,57.0
2367.747445,773,4,26.900000000000002,57.0
2367.747445,773,5,34.6,56.1
2367.747445,773,6,35.2,55.6
