timestamp_s,frame_number,point_index,snr,noise
3804.587995,1760,0,27.8,55.0
3806.586821,1762,0,33.7,57.5
3806.586821,1762,1,16.0,62.2
3807.595441,1763,0,26.200000000000003,55.800000000000004
3807.595441,1763,1,39.7,54.5
3807.595441,1763,2,15.600000000000001,65.4
3807.595441,1763,3,15.600000000000001,65.4
3807.595441,1763,4,38.900000000000006,56.6
3808.603903,1764,0,15.700000000000001,86.10000000000001
3808.603903,1764,1,29.6,55.0
3808.603903,1764,2,29.6,55.0
3808.603903,1764,3,24.8,54.800000000000004
3808.603903,1764,4,39.300000000000004,56.900000000000006
3808.603903,1764,5,33.300000000000004,63.2
3808.603903,1764,6,33.300000000000004,63.2
3808.603903,1764,7,40.2,55.0
3809.59254,1765,0,15.0,85.7
3809.59254,1765,1,35.6,55.1
3809.59254,1765,2,17.1,68.60000000000001
3809.59254,1765,3,37.9,57.0
3809.59254,1765,4,28.900000000000002,65.3
3810.59559,1766,0,35.2,60.400000000000006
3810.59559,1766,1,35.2,60.400000000000006
3810.59559,1766,2,38.800000000000004,54.2
3810.59559,1766,3,48.6,56.0
3810.59559,1766,4,22.3,68.8
3811.591393,1767,0,41.2,56.1
3811.591393,1767,1,26.700000000000003,62.300000000000004
3811.591393,1767,2,15.3,66.0
3811.591393,1767,3,16.5,83.2
3812.581152,1768,0,20.5,54.800000000000004
3812.581152,1768,1,44.1,54.900000000000006
3812.581152,1768,2,43.0,57.1
3812.581152,1768,3,24.5,68.10000000000001
3812.581152,1768,4,24.5,68.10000000000001
3813.594516,1769,0,20.8,68.4
3813.594516,1769,1,45.300000000000004,55.7
3813.594516,1769,2,40.5,59.5
3813.594516,1769,3,28.0,68.2
3813.594516,1769,4,28.0,68.2
3814.604914,1770,0,15.200000000000001,84.9
3814.604914,1770,1,33.300000000000004,63.2
3814.604914,1770,2,33.300000000000004,63.2
3814.604914,1770,3,30.400000000000002,57.1
3814.604914,1770,4,30.400000000000002,57.1
3814.604914,1770,5,28.5,74.7
3814.604914,1770,6,19.700000000000003,70.4
3814.604914,1770,7,39.400000000000006,60.2
3815.60603,1771,0,23.1,67.8
3815.60603,1771,1,29.0,78.4
3815.60603,1771,2,22.200000000000003,62.6
3816.596047,1772,0,16.1,84.60000000000001
3816.596047,1772,1,20.0,77.7
3816.596047,1772,2,20.8,91.4
3817.596055,1773,0,15.700000000000001,84.7
3817.596055,1773,1,30.1,62.400000000000006
3818.59939,1774,0,16.8,67.9
3818.59939,1774,1,30.200000000000003,66.3
3818.59939,1774,2,27.200000000000003,75.4
3818.59939,1774,3,23.0,81.30000000000001
3820.40361,1775,0,18.5,86.2
3820.40361,1775,1,17.6,67.9
3820.40361,1775,2,28.700000000000003,65.4
3820.40361,1775,3,21.400000000000002,79.60000000000001
3821.60072,1776,0,31.0,71.7
3822.583106,1777,0,31.900000000000002,66.60000000000001
3822.583106,1777,1,28.3,77.7
3822.583106,1777,2,16.5,59.6
3822.583106,1777,3,16.5,59.6
3823.588604,1778,0,17.6,75.4
3823.588604,1778,1,19.200000000000003,76.9
3823.588604,1778,2,25.400000000000002,65.9
3823.588604,1778,3,25.400000000000002,65.9
3823.588604,1778,4,36.300000000000004,67.8
3823.588604,1778,5,19.200000000000003,64.60000000000001
3823.588604,1778,6,23.700000000000003,66.5
3823.588604,1778,7,34.800000000000004,77.0
3824.59315,1779,0,23.8,74.2
3824.59315,1779,1,23.8,74.2
3824.59315,1779,2,16.2,68.7
3824.59315,1779,3,15.8,68.9
3824.59315,1779,4,15.8,68.9
3824.59315,1779,5,30.3,70.5
3826.398567,1780,0,27.3,58.1
3826.398567,1780,1,25.1,77.4
3827.590363,1781,0,15.100000000000001,87.0
3827.590363,1781,1,29.1,67.8
3827.590363,1781,2,18.3,82.10000000000001
3827.590363,1781,3,23.6,75.5
3828.590762,1782,0,30.700000000000003,76.10000000000001
3828.590762,1782,1,22.5,74.7
3828.590762,1782,2,17.7,66.8
3828.590762,1782,3,17.7,66.8
3829.587759,1783,0,33.0,58.900000000000006
3829.587759,1783,1,33.0,58.900000000000006
3829.587759,1783,2,26.3,75.3
3829.587759,1783,3,15.0,91.5
3830.598428,1784,0,35.300000000000004,64.8
3830.598428,1784,1,35.300000000000004,64.8
3830.598428,1784,2,32.7,77.0
3831.590263,1785,0,23.3,80.2
3831.590263,1785,1,24.900000000000002,67.2
3831.590263,1785,2,24.900000000000002,67.2
3831.590263,1785,3,26.8,75.0
3831.590263,1785,4,36.2,55.1
3832.585629,1786,0,36.4,59.900000000000006
3832.585629,1786,1,36.4,59.900000000000006
3832.585629,1786,2,38.5,55.800000000000004
3832.585629,1786,3,16.400000000000002,64.9
3832.585629,1786,4,39.7,54.300000000000004
3833.591565,1787,0,43.2,56.800000000000004
3833.591565,1787,1,30.5,62.300000000000004
3833.591565,1787,2,27.5,65.2
3833.591565,1787,3,21.200000000000003,67.7
3833.591565,1787,4,37.5,55.5
3833.591565,1787,5,36.300000000000004,54.300000000000004
3834.604822,1788,0,33.800000000000004,55.6
3834.604822,1788,1,40.300000000000004,58.800000000000004
3834.604822,1788,2,40.300000000000004,58.800000000000004
3834.604822,1788,3,41.7,54.900000000000006
3835.583345,1789,0,15.100000000000001,85.60000000000001
3835.583345,1789,1,37.6,55.400000000000006
3835.583345,1789,2,32.6,62.0
3835.583345,1789,3,32.6,62.0
3835.583345,1789,4,16.7,63.300000000000004
3835.583345,1789,5,16.7,63.300000000000004
3835.583345,1789,6,43.900000000000006,55.300000000000004
3835.583345,1789,7,28.900000000000002,59.2
3835.583345,1789,8,28.900000000000002,59.2
3836.598798,1790,0,41.1,55.1
3836.598798,1790,1,21.700000000000003,67.7
3836.598798,1790,2,21.700000000000003,67.7
3836.598798,1790,3,23.900000000000002,65.7
3836.598798,1790,4,30.3,56.0
3837.579187,1791,0,34.300000000000004,57.2
3837.579187,1791,1,30.6,57.5
3838.5944,1792,0,32.1,55.800000000000004
3838.5944,1792,1,30.200000000000003,56.2
3839.588786,1793,0,33.1,56.300000000000004
3839.588786,1793,1,32.300000000000004,54.5
3839.588786,1793,2,33.0,54.300000000000004
3840.600769,1794,0,36.1,55.5
3840.600769,1794,1,26.8,57.5
3840.600769,1794,2,26.8,57.5
3840.600769,1794,3,22.1,60.6
3841.590238,1795,0,30.200000000000003,55.900000000000006
3841.590238,1795,1,33.6,57.400000000000006
3841.590238,1795,2,33.6,57.400000000000006
3841.590238,1795,3,28.3,55.300000000000004
3842.586328,1796,0,26.1,56.900000000000006
3843.599796,1797,0,24.5,56.6
3843.599796,1797,1,24.5,56.6
3844.588895,1798,0,26.700000000000003,56.7
3844.588895,1798,1,24.1,56.5
3844.588895,1798,2,24.1,56.5
3844.588895,1798,3,36.6,55.1
3844.588895,1798,4,35.7,55.6
3845.599899,1799,0,25.8,61.7
3845.599899,1799,1,23.8,62.900000000000006
3845.599899,1799,2,28.700000000000003,54.5
3847.405162,1800,0,15.200000000000001,85.7
3847.405162,1800,1,33.6,55.800000000000004
3847.405162,1800,2,15.700000000000001,66.3
3847.405162,1800,3,36.1,55.800000000000004
