timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,19.3,89.4
0.0,1,1,15.600000000000001,87.80000000000001
0.0,1,2,25.5,55.400000000000006
1.008375,2,0,19.1,89.60000000000001
1.008375,2,1,15.5,88.0
1.008375,2,2,18.7,66.10000000000001
1.008375,2,3,34.6,55.5
1.992167,3,0,19.3,89.4
1.992167,3,1,15.4,88.10000000000001
1.992167,3,2,18.3,69.2
1.992167,3,3,33.7,60.1
1.992167,3,4,34.2,55.0
2.993573,4,0,19.200000000000003,89.5
2.993573,4,1,16.3,86.80000000000001
2.993573,4,2,16.0,84.30000000000001
4.808445,5,0,19.400000000000002,89.30000000000001
4.808445,5,1,15.9,87.7
4.808445,5,2,39.800000000000004,55.900000000000006
5.993065,6,0,19.1,89.5
5.993065,6,1,16.1,88.30000000000001
5.993065,6,2,33.5,55.5
5.993065,6,3,30.5,58.300000000000004
5.993065,6,4,30.5,58.300000000000004
5.993065,6,5,25.8,64.5
5.993065,6,6,25.8,64.5
7.014348,7,0,20.0,82.30000000000001
7.014348,7,1,20.0,82.30000000000001
7.014348,7,2,19.700000000000003,89.0
7.014348,7,3,15.700000000000001,87.30000000000001
7.014348,7,4,23.900000000000002,55.900000000000006
7.014348,7,5,43.7,57.1
7.014348,7,6,17.900000000000002,67.3
7.014348,7,7,17.900000000000002,67.3
7.988377,8,0,19.1,89.7
7.988377,8,1,15.4,87.80000000000001
9.004307,9,0,18.7,90.0
9.004307,9,1,15.0,87.30000000000001
9.004307,9,2,31.400000000000002,56.0
9.004307,9,3,31.400000000000002,56.0
9.004307,9,4,20.200000000000003,63.2
9.004307,9,5,41.6,56.400000000000006
9.990606,10,0,18.6,89.80000000000001
9.990606,10,1,16.900000000000002,86.7
9.990606,10,2,37.300000000000004,55.400000000000006
9.990606,10,3,35.2,55.2
9.990606,10,4,22.1,66.60000000000001
9.990606,10,5,22.1,66.60000000000001
10.983103,11,0,18.8,89.9
10.983103,11,1,38.900000000000006,55.800000000000004
11.992598,12,0,19.1,89.80000000000001
11.992598,12,1,15.200000000000001,88.0
11.992598,12,2,39.5,56.400000000000006
11.992598,12,3,19.200000000000003,66.10000000000001
13.00931,13,0,19.400000000000002,82.9
13.00931,13,1,19.400000000000002,82.9
13.00931,13,2,18.1,90.10000000000001
13.997536,14,0,19.1,89.9
13.997536,14,1,15.9,87.80000000000001
13.997536,14,2,44.300000000000004,54.5
13.997536,14,3,21.700000000000003,65.2
15.006521,15,0,21.400000000000002,86.5
15.006521,15,1,21.400000000000002,86.5
15.006521,15,2,26.0,54.0
15.995321,16,0,18.7,89.9
15.995321,16,1,15.3,87.9
17.817678,17,0,19.3,89.9
19.007826,18,0,19.200000000000003,89.80000000000001
19.007826,18,1,15.8,87.30000000000001
19.007826,18,2,38.0,55.6
21.004977,19,0,19.5,89.60000000000001
21.004977,19,1,15.3,87.5
21.998835,20,0,17.3,90.0
21.998835,20,1,16.2,86.5
23.003548,21,0,19.1,89.9
23.003548,21,1,16.400000000000002,86.9
24.005783,22,0,18.7,90.0
24.992459,23,0,18.900000000000002,90.4
24.992459,23,1,15.8,87.7
25.998599,24,0,19.8,88.7
25.998599,24,1,15.3,87.4
27.008685,25,0,19.700000000000003,90.0
27.008685,25,1,16.1,86.9
27.997736,26,0,19.200000000000003,89.5
27.997736,26,1,15.8,87.30000000000001
29.002138,27,0,19.6,89.7
29.002138,27,1,17.0,87.60000000000001
29.002138,27,2,28.700000000000003,55.6
29.002138,27,3,37.1,54.7
29.991352,28,0,20.6,88.60000000000001
29.991352,28,1,16.2,88.10000000000001
29.991352,28,2,38.1,55.300000000000004
29.991352,28,3,27.400000000000002,56.5
30.994563,29,0,19.200000000000003,89.30000000000001
30.994563,29,1,16.6,88.0
30.994563,29,2,40.900000000000006,56.900000000000006
30.994563,29,3,28.0,55.400000000000006
31.998159,30,0,19.6,89.60000000000001
31.998159,30,1,16.3,88.30000000000001
32.994438,31,0,18.7,90.0
32.994438,31,1,16.0,87.80000000000001
32.994438,31,2,42.2,54.800000000000004
32.994438,31,3,19.5,67.5
32.994438,31,4,19.5,67.5
33.990656,32,0,19.3,89.80000000000001
33.990656,32,1,15.200000000000001,88.4
34.996446,33,0,20.400000000000002,88.80000000000001
34.996446,33,1,17.2,87.30000000000001
36.003971,34,0,19.700000000000003,89.0
36.003971,34,1,15.100000000000001,88.80000000000001
37.807966,35,0,19.6,89.4
37.807966,35,1,15.4,88.0
