timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,21.900000000000002,98.80000000000001
0.0,1,1,17.0,92.30000000000001
1.186974,2,0,22.3,98.4
1.186974,2,1,16.900000000000002,92.30000000000001
2.19479,3,0,21.900000000000002,98.9
2.19479,3,1,16.2,92.80000000000001
3.191777,4,0,21.900000000000002,98.7
3.191777,4,1,16.0,92.9
4.193456,5,0,22.1,98.60000000000001
4.193456,5,1,17.0,92.0
4.193456,5,2,35.4,57.5
5.195955,6,0,22.1,98.60000000000001
5.195955,6,1,16.0,93.0
5.195955,6,2,18.7,63.400000000000006
5.195955,6,3,18.7,63.400000000000006
7.000736,7,0,22.1,98.5
7.000736,7,1,16.2,93.2
8.188911,8,0,22.400000000000002,98.4
8.188911,8,1,16.6,92.7
9.180942,9,0,22.400000000000002,98.30000000000001
9.180942,9,1,16.2,93.0
10.181433,10,0,21.900000000000002,98.80000000000001
10.181433,10,1,16.900000000000002,92.4
11.192169,11,0,22.8,97.9
11.192169,11,1,17.1,92.10000000000001
12.191399,12,0,22.5,98.2
12.191399,12,1,17.6,91.9
13.191022,13,0,22.0,98.5
13.191022,13,1,18.0,92.2
14.193146,14,0,22.1,98.60000000000001
14.193146,14,1,17.0,92.10000000000001
14.193146,14,2,15.3,67.8
14.193146,14,3,15.3,67.8
14.193146,14,4,16.2,63.6
15.20209,15,0,22.3,98.5
15.20209,15,1,16.5,92.9
15.20209,15,2,34.800000000000004,57.800000000000004
15.20209,15,3,24.3,77.10000000000001
16.192294,16,0,22.3,98.4
16.192294,16,1,16.7,92.5
16.192294,16,2,24.8,56.900000000000006
16.192294,16,3,27.900000000000002,59.2
17.194661,17,0,21.5,99.30000000000001
17.194661,17,1,16.6,92.2
18.1948,18,0,21.700000000000003,99.0
18.1948,18,1,17.3,92.10000000000001
19.183454,19,0,22.3,98.4
19.183454,19,1,16.2,92.80000000000001
20.194061,20,0,22.3,98.5
20.194061,20,1,17.5,91.60000000000001
20.194061,20,2,26.400000000000002,60.7
21.195762,21,0,22.200000000000003,98.4
21.195762,21,1,16.400000000000002,92.5
22.999681,22,0,22.400000000000002,98.30000000000001
22.999681,22,1,17.0,92.5
24.191789,23,0,22.200000000000003,98.4
24.191789,23,1,16.7,92.60000000000001
25.214467,24,0,22.0,98.5
25.214467,24,1,16.7,92.4
26.192932,25,0,22.200000000000003,98.60000000000001
26.192932,25,1,16.3,92.60000000000001
26.192932,25,2,22.700000000000003,61.400000000000006
26.192932,25,3,26.0,57.800000000000004
27.188816,26,0,22.3,98.5
27.188816,26,1,16.400000000000002,92.60000000000001
27.188816,26,2,30.8,54.1
28.189811,27,0,22.3,98.4
28.189811,27,1,16.7,92.4
29.188205,28,0,23.1,97.9
29.188205,28,1,16.8,92.2
30.18635,29,0,22.0,98.7
30.18635,29,1,17.7,91.5
31.185942,30,0,22.3,98.5
31.185942,30,1,16.7,92.60000000000001
32.194724,31,0,22.400000000000002,98.30000000000001
32.194724,31,1,17.1,91.80000000000001
33.203573,32,0,22.0,98.9
33.203573,32,1,16.400000000000002,93.0
33.203573,32,2,24.200000000000003,57.1
34.191342,33,0,22.3,98.4
34.191342,33,1,16.8,93.0
35.183572,34,0,22.0,98.7
35.183572,34,1,16.3,92.7
36.195775,35,0,22.6,98.10000000000001
36.195775,35,1,17.1,92.2
36.195775,35,2,25.900000000000002,56.0
37.192185,36,0,22.400000000000002,98.30000000000001
37.192185,36,1,16.900000000000002,92.2
38.190575,37,0,22.200000000000003,98.5
38.190575,37,1,17.0,92.0
38.190575,37,2,20.700000000000003,64.0
