timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
0.0,1,0,0,5289
0.0,1,0,1,5039
0.0,1,0,2,3102
0.0,1,0,3,2785
0.0,1,0,4,2568
0.0,1,0,5,2534
0.0,1,0,6,2340
0.0,1,0,7,2417
0.0,1,0,8,2451
0.0,1,0,9,2418
0.0,1,0,10,2316
0.0,1,0,11,2399
0.0,1,0,12,2417
0.0,1,0,13,2396
0.0,1,0,14,2440
0.0,1,0,15,2435
0.0,1,0,16,2379
0.0,1,0,17,2325
0.0,1,0,18,2383
0.0,1,0,19,2336
0.0,1,0,20,2284
0.0,1,0,21,2547
0.0,1,0,22,2363
0.0,1,0,23,2310
0.0,1,0,24,2282
0.0,1,0,25,2260
0.0,1,0,26,2217
0.0,1,0,27,2245
0.0,1,0,28,2332
0.0,1,0,29,2170
0.0,1,0,30,2358
0.0,1,0,31,2378
0.0,1,0,32,2191
0.0,1,0,33,2303
0.0,1,0,34,2131
0.0,1,0,35,2304
0.0,1,0,36,2514
0.0,1,0,37,2418
0.0,1,0,38,2197
0.0,1,0,39,2096
0.0,1,0,40,2217
0.0,1,0,41,2325
0.0,1,0,42,2285
0.0,1,0,43,2226
0.0,1,0,44,2043
0.0,1,0,45,2392
0.0,1,0,46,2470
0.0,1,0,47,2372
0.0,1,0,48,2187
0.0,1,0,49,2224
0.0,1,0,50,2344
0.0,1,0,51,2380
0.0,1,0,52,2494
0.0,1,0,53,2485
0.0,1,0,54,2438
0.0,1,0,55,2241
0.0,1,0,56,2409
0.0,1,0,57,2371
0.0,1,0,58,2216
0.0,1,0,59,2152
0.0,1,0,60,2223
0.0,1,0,61,2370
0.0,1,0,62,2387
0.0,1,0,63,2364
0.0,1,0,64,2353
0.0,1,0,65,2409
0.0,1,0,66,2349
0.0,1,0,67,2372
0.0,1,0,68,2533
0.0,1,0,69,2352
0.0,1,0,70,2227
0.0,1,0,71,2394
0.0,1,0,72,2407
0.0,1,0,73,2466
0.0,1,0,74,2503
0.0,1,0,75,2468
0.0,1,0,76,2332
0.0,1,0,77,2429
0.0,1,0,78,2471
0.0,1,0,79,2369
0.0,1,0,80,2235
0.0,1,0,81,2317
0.0,1,0,82,2137
0.0,1,0,83,2130
0.0,1,0,84,2234
0.0,1,0,85,2168
0.0,1,0,86,2449
0.0,1,0,87,2396
0.0,1,0,88,2233
0.0,1,0,89,2397
0.0,1,0,90,2303
0.0,1,0,91,2258
0.0,1,0,92,2287
0.0,1,0,93,2304
0.0,1,0,94,2323
0.0,1,0,95,2293
0.0,1,0,96,2183
0.0,1,0,97,2380
0.0,1,0,98,2447
0.0,1,0,99,2407
0.0,1,0,100,2194
0.0,1,0,101,2288
0.0,1,0,102,2220
0.0,1,0,103,2473
0.0,1,0,104,2570
0.0,1,0,105,2438
0.0,1,0,106,2359
0.0,1,0,107,2401
0.0,1,0,108,2376
0.0,1,0,109,2400
0.0,1,0,110,2366
0.0,1,0,111,2305
0.0,1,0,112,2432
0.0,1,0,113,2312
0.0,1,0,114,2334
0.0,1,0,115,2464
0.0,1,0,116,2422
0.0,1,0,117,2449
0.0,1,0,118,2230
0.0,1,0,119,2390
0.0,1,0,120,2441
0.0,1,0,121,2138
0.0,1,0,122,2397
0.0,1,0,123,2393
0.0,1,0,124,2555
0.0,1,0,125,2747
0.0,1,0,126,3093
0.0,1,0,127,5037
0.0,1,1,0,5274
0.0,1,1,1,5022
0.0,1,1,2,3089
0.0,1,1,3,2772
0.0,1,1,4,2592
0.0,1,1,5,2520
0.0,1,1,6,2305
0.0,1,1,7,2456
0.0,1,1,8,2537
0.0,1,1,9,2590
0.0,1,1,10,2389
0.0,1,1,11,2346
0.0,1,1,12,2355
0.0,1,1,13,2380
0.0,1,1,14,2476
0.0,1,1,15,2545
0.0,1,1,16,2518
0.0,1,1,17,2355
0.0,1,1,18,2361
0.0,1,1,19,2384
0.0,1,1,20,2440
0.0,1,1,21,2561
0.0,1,1,22,2369
0.0,1,1,23,2311
0.0,1,1,24,2302
0.0,1,1,25,2408
0.0,1,1,26,2281
0.0,1,1,27,2329
0.0,1,1,28,2413
0.0,1,1,29,2397
0.0,1,1,30,2379
0.0,1,1,31,2278
0.0,1,1,32,2315
0.0,1,1,33,2438
0.0,1,1,34,2281
0.0,1,1,35,2329
0.0,1,1,36,2404
0.0,1,1,37,2375
0.0,1,1,38,2293
0.0,1,1,39,2471
0.0,1,1,40,2342
0.0,1,1,41,2195
0.0,1,1,42,2272
0.0,1,1,43,2317
0.0,1,1,44,2384
0.0,1,1,45,2481
0.0,1,1,46,2506
0.0,1,1,47,2405
0.0,1,1,48,2292
0.0,1,1,49,2217
0.0,1,1,50,2375
0.0,1,1,51,2341
0.0,1,1,52,2408
0.0,1,1,53,2402
0.0,1,1,54,2369
0.0,1,1,55,2248
0.0,1,1,56,2468
0.0,1,1,57,2441
0.0,1,1,58,2293
0.0,1,1,59,2260
0.0,1,1,60,2317
0.0,1,1,61,2446
0.0,1,1,62,2479
0.0,1,1,63,2417
0.0,1,1,64,2390
0.0,1,1,65,2458
0.0,1,1,66,2224
0.0,1,1,67,2287
0.0,1,1,68,2404
0.0,1,1,69,2315
0.0,1,1,70,2499
0.0,1,1,71,2515
0.0,1,1,72,2552
0.0,1,1,73,2469
0.0,1,1,74,2432
0.0,1,1,75,2490
0.0,1,1,76,2467
0.0,1,1,77,2519
0.0,1,1,78,2429
0.0,1,1,79,2356
0.0,1,1,80,2466
0.0,1,1,81,2495
0.0,1,1,82,2345
0.0,1,1,83,2172
0.0,1,1,84,2226
0.0,1,1,85,2334
0.0,1,1,86,2475
0.0,1,1,87,2511
0.0,1,1,88,2177
0.0,1,1,89,2371
0.0,1,1,90,2395
0.0,1,1,91,2246
0.0,1,1,92,2327
0.0,1,1,93,2448
0.0,1,1,94,2410
0.0,1,1,95,2297
0.0,1,1,96,2365
0.0,1,1,97,2431
0.0,1,1,98,2472
0.0,1,1,99,2489
0.0,1,1,100,2332
0.0,1,1,101,2359
0.0,1,1,102,2394
0.0,1,1,103,2544
0.0,1,1,104,2579
0.0,1,1,105,2583
0.0,1,1,106,2511
0.0,1,1,107,2385
0.0,1,1,108,2458
0.0,1,1,109,2412
0.0,1,1,110,2495
0.0,1,1,111,2304
0.0,1,1,112,2479
0.0,1,1,113,2311
0.0,1,1,114,2367
0.0,1,1,115,2517
0.0,1,1,116,2506
0.0,1,1,117,2489
0.0,1,1,118,2225
0.0,1,1,119,2415
0.0,1,1,120,2500
0.0,1,1,121,2284
0.0,1,1,122,2320
0.0,1,1,123,2440
0.0,1,1,124,2600
0.0,1,1,125,2744
0.0,1,1,126,3085
0.0,1,1,127,5023
0.0,1,2,0,4868
0.0,1,2,1,4616
0.0,1,2,2,2764
0.0,1,2,3,2443
0.0,1,2,4,2511
0.0,1,2,5,2383
0.0,1,2,6,2403
0.0,1,2,7,2307
0.0,1,2,8,2390
0.0,1,2,9,2481
0.0,1,2,10,2413
0.0,1,2,11,2331
0.0,1,2,12,2314
0.0,1,2,13,2286
0.0,1,2,14,2266
0.0,1,2,15,2445
0.0,1,2,16,2433
0.0,1,2,17,2297
0.0,1,2,18,2385
0.0,1,2,19,2383
0.0,1,2,20,2361
0.0,1,2,21,2403
0.0,1,2,22,2437
0.0,1,2,23,2219
0.0,1,2,24,2239
0.0,1,2,25,2420
0.0,1,2,26,2403
0.0,1,2,27,2325
0.0,1,2,28,2324
0.0,1,2,29,2422
0.0,1,2,30,2371
0.0,1,2,31,2174
0.0,1,2,32,2375
0.0,1,2,33,2479
0.0,1,2,34,2418
0.0,1,2,35,2299
0.0,1,2,36,2333
0.0,1,2,37,2386
0.0,1,2,38,2294
0.0,1,2,39,2478
0.0,1,2,40,2361
0.0,1,2,41,2300
0.0,1,2,42,2310
0.0,1,2,43,2433
0.0,1,2,44,2378
0.0,1,2,45,2487
0.0,1,2,46,2461
0.0,1,2,47,2377
0.0,1,2,48,2372
0.0,1,2,49,2305
0.0,1,2,50,2292
0.0,1,2,51,2319
0.0,1,2,52,2296
0.0,1,2,53,2353
0.0,1,2,54,2306
0.0,1,2,55,2211
0.0,1,2,56,2418
0.0,1,2,57,2364
0.0,1,2,58,2319
0.0,1,2,59,2272
0.0,1,2,60,2307
0.0,1,2,61,2332
0.0,1,2,62,2417
0.0,1,2,63,2457
0.0,1,2,64,1974
0.0,1,2,65,2266
0.0,1,2,66,2102
0.0,1,2,67,2288
0.0,1,2,68,2293
0.0,1,2,69,2455
0.0,1,2,70,2566
0.0,1,2,71,2470
0.0,1,2,72,2466
0.0,1,2,73,2469
0.0,1,2,74,2302
0.0,1,2,75,2346
0.0,1,2,76,2401
0.0,1,2,77,2454
0.0,1,2,78,2520
0.0,1,2,79,2414
0.0,1,2,80,2364
0.0,1,2,81,2468
0.0,1,2,82,2371
0.0,1,2,83,2154
0.0,1,2,84,2307
0.0,1,2,85,2362
0.0,1,2,86,2335
0.0,1,2,87,2350
0.0,1,2,88,2179
0.0,1,2,89,2232
0.0,1,2,90,2235
0.0,1,2,91,2227
0.0,1,2,92,2288
0.0,1,2,93,2351
0.0,1,2,94,2397
0.0,1,2,95,2189
0.0,1,2,96,2477
0.0,1,2,97,2354
0.0,1,2,98,2384
0.0,1,2,99,2443
0.0,1,2,100,2285
0.0,1,2,101,2386
0.0,1,2,102,2526
0.0,1,2,103,2466
0.0,1,2,104,2328
0.0,1,2,105,2500
0.0,1,2,106,2534
0.0,1,2,107,2432
0.0,1,2,108,2466
0.0,1,2,109,2387
0.0,1,2,110,2417
0.0,1,2,111,2258
0.0,1,2,112,2481
0.0,1,2,113,2439
0.0,1,2,114,2311
0.0,1,2,115,2337
0.0,1,2,116,2463
0.0,1,2,117,2440
0.0,1,2,118,2416
0.0,1,2,119,2303
0.0,1,2,120,2383
0.0,1,2,121,2385
0.0,1,2,122,2325
0.0,1,2,123,2332
0.0,1,2,124,2482
0.0,1,2,125,2474
0.0,1,2,126,2653
0.0,1,2,127,4615
0.0,1,3,0,3732
0.0,1,3,1,3493
0.0,1,3,2,2330
0.0,1,3,3,2302
0.0,1,3,4,2434
0.0,1,3,5,2431
0.0,1,3,6,2421
0.0,1,3,7,2441
0.0,1,3,8,2367
0.0,1,3,9,2310
0.0,1,3,10,2290
0.0,1,3,11,2298
0.0,1,3,12,2394
0.0,1,3,13,2308
0.0,1,3,14,2314
0.0,1,3,15,2455
0.0,1,3,16,2502
0.0,1,3,17,2391
0.0,1,3,18,2442
0.0,1,3,19,2322
0.0,1,3,20,2223
0.0,1,3,21,2428
0.0,1,3,22,2463
0.0,1,3,23,2481
0.0,1,3,24,2303
0.0,1,3,25,2354
0.0,1,3,26,2332
0.0,1,3,27,2406
0.0,1,3,28,2453
0.0,1,3,29,2372
0.0,1,3,30,2366
0.0,1,3,31,2336
0.0,1,3,32,2457
0.0,1,3,33,2465
0.0,1,3,34,2278
0.0,1,3,35,2298
0.0,1,3,36,2449
0.0,1,3,37,2408
0.0,1,3,38,2316
0.0,1,3,39,2388
0.0,1,3,40,2353
0.0,1,3,41,2447
0.0,1,3,42,2370
0.0,1,3,43,2451
0.0,1,3,44,2360
0.0,1,3,45,2380
0.0,1,3,46,2323
0.0,1,3,47,2468
0.0,1,3,48,2419
0.0,1,3,49,2257
0.0,1,3,50,2366
0.0,1,3,51,2197
0.0,1,3,52,2404
0.0,1,3,53,2515
0.0,1,3,54,2201
0.0,1,3,55,2139
0.0,1,3,56,2326
0.0,1,3,57,2300
0.0,1,3,58,2361
0.0,1,3,59,2308
0.0,1,3,60,2280
0.0,1,3,61,2323
0.0,1,3,62,2316
0.0,1,3,63,2361
0.0,1,3,64,2272
0.0,1,3,65,2323
0.0,1,3,66,2257
0.0,1,3,67,2294
0.0,1,3,68,2283
0.0,1,3,69,2428
0.0,1,3,70,2415
0.0,1,3,71,2276
0.0,1,3,72,2417
0.0,1,3,73,2486
0.0,1,3,74,2356
0.0,1,3,75,2333
0.0,1,3,76,2413
0.0,1,3,77,2266
0.0,1,3,78,2452
0.0,1,3,79,2430
0.0,1,3,80,2255
0.0,1,3,81,2459
0.0,1,3,82,2418
0.0,1,3,83,2435
0.0,1,3,84,2226
0.0,1,3,85,2319
0.0,1,3,86,2303
0.0,1,3,87,2199
0.0,1,3,88,2099
0.0,1,3,89,2233
0.0,1,3,90,2337
0.0,1,3,91,2363
0.0,1,3,92,2453
0.0,1,3,93,2439
0.0,1,3,94,2423
0.0,1,3,95,2339
0.0,1,3,96,2424
0.0,1,3,97,2391
0.0,1,3,98,2381
0.0,1,3,99,2432
0.0,1,3,100,2359
0.0,1,3,101,2395
0.0,1,3,102,2324
0.0,1,3,103,2332
0.0,1,3,104,2303
0.0,1,3,105,2349
0.0,1,3,106,2435
0.0,1,3,107,2380
0.0,1,3,108,2389
0.0,1,3,109,2376
0.0,1,3,110,2342
0.0,1,3,111,2308
0.0,1,3,112,2493
0.0,1,3,113,2542
0.0,1,3,114,2376
0.0,1,3,115,2324
0.0,1,3,116,2399
0.0,1,3,117,2392
0.0,1,3,118,2394
0.0,1,3,119,2411
0.0,1,3,120,2274
0.0,1,3,121,2353
0.0,1,3,122,2414
0.0,1,3,123,2409
0.0,1,3,124,2291
0.0,1,3,125,2269
0.0,1,3,126,2451
0.0,1,3,127,3460
0.0,1,4,0,3062
0.0,1,4,1,2845
0.0,1,4,2,2262
0.0,1,4,3,2272
0.0,1,4,4,2301
0.0,1,4,5,2323
0.0,1,4,6,2325
0.0,1,4,7,2426
0.0,1,4,8,2451
0.0,1,4,9,2243
0.0,1,4,10,2304
0.0,1,4,11,2360
0.0,1,4,12,2364
0.0,1,4,13,2354
0.0,1,4,14,2413
0.0,1,4,15,2315
0.0,1,4,16,2468
0.0,1,4,17,2397
0.0,1,4,18,2355
0.0,1,4,19,2422
0.0,1,4,20,2247
0.0,1,4,21,2449
0.0,1,4,22,2509
0.0,1,4,23,2328
0.0,1,4,24,2382
0.0,1,4,25,2331
0.0,1,4,26,2335
0.0,1,4,27,2443
0.0,1,4,28,2393
0.0,1,4,29,2313
0.0,1,4,30,2431
0.0,1,4,31,2351
0.0,1,4,32,2466
0.0,1,4,33,2438
0.0,1,4,34,2366
0.0,1,4,35,2292
0.0,1,4,36,2395
0.0,1,4,37,2404
0.0,1,4,38,2339
0.0,1,4,39,2423
0.0,1,4,40,2354
0.0,1,4,41,2420
0.0,1,4,42,2392
0.0,1,4,43,2394
0.0,1,4,44,2472
0.0,1,4,45,2387
0.0,1,4,46,2375
0.0,1,4,47,2401
0.0,1,4,48,2457
0.0,1,4,49,2339
0.0,1,4,50,2418
0.0,1,4,51,2398
0.0,1,4,52,2449
0.0,1,4,53,2517
0.0,1,4,54,2243
0.0,1,4,55,2188
0.0,1,4,56,2144
0.0,1,4,57,2297
0.0,1,4,58,2391
0.0,1,4,59,2376
0.0,1,4,60,2114
0.0,1,4,61,2340
0.0,1,4,62,2393
0.0,1,4,63,2230
0.0,1,4,64,2465
0.0,1,4,65,2474
0.0,1,4,66,2220
0.0,1,4,67,2184
0.0,1,4,68,2264
0.0,1,4,69,2240
0.0,1,4,70,2143
0.0,1,4,71,2220
0.0,1,4,72,2297
0.0,1,4,73,2447
0.0,1,4,74,2437
0.0,1,4,75,2434
0.0,1,4,76,2325
0.0,1,4,77,2417
0.0,1,4,78,2299
0.0,1,4,79,2412
0.0,1,4,80,2321
0.0,1,4,81,2456
0.0,1,4,82,2560
0.0,1,4,83,2486
0.0,1,4,84,2261
0.0,1,4,85,2445
0.0,1,4,86,2465
0.0,1,4,87,2302
0.0,1,4,88,2183
0.0,1,4,89,2206
0.0,1,4,90,2380
0.0,1,4,91,2374
0.0,1,4,92,2482
0.0,1,4,93,2339
0.0,1,4,94,2260
0.0,1,4,95,2437
0.0,1,4,96,2309
0.0,1,4,97,2347
0.0,1,4,98,2253
0.0,1,4,99,2328
0.0,1,4,100,2361
0.0,1,4,101,2299
0.0,1,4,102,2350
0.0,1,4,103,2182
0.0,1,4,104,2215
0.0,1,4,105,2283
0.0,1,4,106,2388
0.0,1,4,107,2403
0.0,1,4,108,2315
0.0,1,4,109,2370
0.0,1,4,110,2228
0.0,1,4,111,2299
0.0,1,4,112,2474
0.0,1,4,113,2535
0.0,1,4,114,2477
0.0,1,4,115,2417
0.0,1,4,116,2388
0.0,1,4,117,2351
0.0,1,4,118,2335
0.0,1,4,119,2368
0.0,1,4,120,2355
0.0,1,4,121,2475
0.0,1,4,122,2386
0.0,1,4,123,2469
0.0,1,4,124,2343
0.0,1,4,125,2390
0.0,1,4,126,2443
0.0,1,4,127,2774
0.0,1,5,0,3418
0.0,1,5,1,3197
0.0,1,5,2,2255
0.0,1,5,3,2278
0.0,1,5,4,2341
0.0,1,5,5,2408
0.0,1,5,6,2305
0.0,1,5,7,2305
0.0,1,5,8,2527
0.0,1,5,9,2328
0.0,1,5,10,2373
0.0,1,5,11,2406
0.0,1,5,12,2398
0.0,1,5,13,2454
0.0,1,5,14,2390
0.0,1,5,15,2449
0.0,1,5,16,2482
0.0,1,5,17,2398
0.0,1,5,18,2438
0.0,1,5,19,2396
0.0,1,5,20,2155
0.0,1,5,21,2280
0.0,1,5,22,2457
0.0,1,5,23,2373
0.0,1,5,24,2330
0.0,1,5,25,2294
0.0,1,5,26,2238
0.0,1,5,27,2419
0.0,1,5,28,2371
0.0,1,5,29,2272
0.0,1,5,30,2344
0.0,1,5,31,2333
0.0,1,5,32,2118
0.0,1,5,33,2403
0.0,1,5,34,2322
0.0,1,5,35,2472
0.0,1,5,36,2369
0.0,1,5,37,2411
0.0,1,5,38,2370
0.0,1,5,39,2431
0.0,1,5,40,2395
0.0,1,5,41,2293
0.0,1,5,42,2494
0.0,1,5,43,2314
0.0,1,5,44,2388
0.0,1,5,45,2323
0.0,1,5,46,2432
0.0,1,5,47,2248
0.0,1,5,48,2297
0.0,1,5,49,2329
0.0,1,5,50,2458
0.0,1,5,51,2470
0.0,1,5,52,2395
0.0,1,5,53,2343
0.0,1,5,54,2331
0.0,1,5,55,2303
0.0,1,5,56,2230
0.0,1,5,57,2233
0.0,1,5,58,2344
0.0,1,5,59,2397
0.0,1,5,60,2398
0.0,1,5,61,2289
0.0,1,5,62,2252
0.0,1,5,63,2288
0.0,1,5,64,2313
0.0,1,5,65,2323
0.0,1,5,66,2219
0.0,1,5,67,2250
0.0,1,5,68,2286
