timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
58.470299,29,0,0,5301
58.470299,29,0,1,5047
58.470299,29,0,2,3117
58.470299,29,0,3,2795
58.470299,29,0,4,2602
58.470299,29,0,5,2452
58.470299,29,0,6,2543
58.470299,29,0,7,2485
58.470299,29,0,8,2400
58.470299,29,0,9,2338
58.470299,29,0,10,2462
58.470299,29,0,11,2468
58.470299,29,0,12,2225
58.470299,29,0,13,2346
58.470299,29,0,14,2311
58.470299,29,0,15,2298
58.470299,29,0,16,2228
58.470299,29,0,17,2408
58.470299,29,0,18,2567
58.470299,29,0,19,2491
58.470299,29,0,20,2272
58.470299,29,0,21,2303
58.470299,29,0,22,2331
58.470299,29,0,23,2378
58.470299,29,0,24,2255
58.470299,29,0,25,2396
58.470299,29,0,26,2393
58.470299,29,0,27,2263
58.470299,29,0,28,2336
58.470299,29,0,29,2277
58.470299,29,0,30,2219
58.470299,29,0,31,2136
58.470299,29,0,32,2311
58.470299,29,0,33,2381
58.470299,29,0,34,2314
58.470299,29,0,35,2327
58.470299,29,0,36,2270
58.470299,29,0,37,2281
58.470299,29,0,38,2181
58.470299,29,0,39,2197
58.470299,29,0,40,2437
58.470299,29,0,41,2444
58.470299,29,0,42,2450
58.470299,29,0,43,2308
58.470299,29,0,44,2275
58.470299,29,0,45,2300
58.470299,29,0,46,2315
58.470299,29,0,47,2419
58.470299,29,0,48,2362
58.470299,29,0,49,2351
58.470299,29,0,50,2194
58.470299,29,0,51,2293
58.470299,29,0,52,2476
58.470299,29,0,53,2334
58.470299,29,0,54,2202
58.470299,29,0,55,2232
58.470299,29,0,56,2151
58.470299,29,0,57,2254
58.470299,29,0,58,2288
58.470299,29,0,59,2500
58.470299,29,0,60,2419
58.470299,29,0,61,2236
58.470299,29,0,62,2289
58.470299,29,0,63,2390
58.470299,29,0,64,2432
58.470299,29,0,65,2467
58.470299,29,0,66,2249
58.470299,29,0,67,2303
58.470299,29,0,68,2312
58.470299,29,0,69,2218
58.470299,29,0,70,2294
58.470299,29,0,71,2234
58.470299,29,0,72,2367
58.470299,29,0,73,2264
58.470299,29,0,74,2354
58.470299,29,0,75,2382
58.470299,29,0,76,2370
58.470299,29,0,77,2384
58.470299,29,0,78,2289
58.470299,29,0,79,2204
58.470299,29,0,80,2341
58.470299,29,0,81,2429
58.470299,29,0,82,2253
58.470299,29,0,83,2208
58.470299,29,0,84,2350
58.470299,29,0,85,2277
58.470299,29,0,86,2133
58.470299,29,0,87,2293
58.470299,29,0,88,2269
58.470299,29,0,89,2304
58.470299,29,0,90,2312
58.470299,29,0,91,2281
58.470299,29,0,92,2236
58.470299,29,0,93,2473
58.470299,29,0,94,2132
58.470299,29,0,95,2275
58.470299,29,0,96,2229
58.470299,29,0,97,2134
58.470299,29,0,98,2309
58.470299,29,0,99,2240
58.470299,29,0,100,2377
58.470299,29,0,101,2432
58.470299,29,0,102,2328
58.470299,29,0,103,2232
58.470299,29,0,104,2387
58.470299,29,0,105,2398
58.470299,29,0,106,2406
58.470299,29,0,107,2235
58.470299,29,0,108,2229
58.470299,29,0,109,2286
58.470299,29,0,110,2349
58.470299,29,0,111,2366
58.470299,29,0,112,2276
58.470299,29,0,113,2210
58.470299,29,0,114,2529
58.470299,29,0,115,2550
58.470299,29,0,116,2547
58.470299,29,0,117,2443
58.470299,29,0,118,2361
58.470299,29,0,119,2443
58.470299,29,0,120,2356
58.470299,29,0,121,2358
58.470299,29,0,122,2522
58.470299,29,0,123,2284
58.470299,29,0,124,2580
58.470299,29,0,125,2581
58.470299,29,0,126,3128
58.470299,29,0,127,5049
58.470299,29,1,0,5286
58.470299,29,1,1,5036
58.470299,29,1,2,3116
58.470299,29,1,3,2820
58.470299,29,1,4,2555
58.470299,29,1,5,2348
58.470299,29,1,6,2450
58.470299,29,1,7,2559
58.470299,29,1,8,2596
58.470299,29,1,9,2254
58.470299,29,1,10,2490
58.470299,29,1,11,2490
58.470299,29,1,12,2295
58.470299,29,1,13,2410
58.470299,29,1,14,2335
58.470299,29,1,15,2251
58.470299,29,1,16,2487
58.470299,29,1,17,2476
58.470299,29,1,18,2530
58.470299,29,1,19,2476
58.470299,29,1,20,2319
58.470299,29,1,21,2412
58.470299,29,1,22,2351
58.470299,29,1,23,2538
58.470299,29,1,24,2497
58.470299,29,1,25,2419
58.470299,29,1,26,2386
58.470299,29,1,27,2335
58.470299,29,1,28,2384
58.470299,29,1,29,2363
58.470299,29,1,30,2434
58.470299,29,1,31,2494
58.470299,29,1,32,2507
58.470299,29,1,33,2521
58.470299,29,1,34,2364
58.470299,29,1,35,2374
58.470299,29,1,36,2375
58.470299,29,1,37,2480
58.470299,29,1,38,2427
58.470299,29,1,39,2377
58.470299,29,1,40,2528
58.470299,29,1,41,2606
58.470299,29,1,42,2400
58.470299,29,1,43,2492
58.470299,29,1,44,2347
58.470299,29,1,45,2325
58.470299,29,1,46,2411
58.470299,29,1,47,2432
58.470299,29,1,48,2344
58.470299,29,1,49,2346
58.470299,29,1,50,2282
58.470299,29,1,51,2434
58.470299,29,1,52,2431
58.470299,29,1,53,2121
58.470299,29,1,54,2316
58.470299,29,1,55,2352
58.470299,29,1,56,2215
58.470299,29,1,57,2234
58.470299,29,1,58,2443
58.470299,29,1,59,2531
58.470299,29,1,60,2448
58.470299,29,1,61,2349
58.470299,29,1,62,2417
58.470299,29,1,63,2469
58.470299,29,1,64,2495
58.470299,29,1,65,2405
58.470299,29,1,66,2262
58.470299,29,1,67,2395
58.470299,29,1,68,2299
58.470299,29,1,69,2159
58.470299,29,1,70,2343
58.470299,29,1,71,2301
58.470299,29,1,72,2380
58.470299,29,1,73,2350
58.470299,29,1,74,2435
58.470299,29,1,75,2426
58.470299,29,1,76,2497
58.470299,29,1,77,2474
58.470299,29,1,78,2438
58.470299,29,1,79,2301
58.470299,29,1,80,2392
58.470299,29,1,81,2501
58.470299,29,1,82,2478
58.470299,29,1,83,2401
58.470299,29,1,84,2496
58.470299,29,1,85,2463
58.470299,29,1,86,2317
58.470299,29,1,87,2378
58.470299,29,1,88,2501
58.470299,29,1,89,2510
58.470299,29,1,90,2471
58.470299,29,1,91,2411
58.470299,29,1,92,2416
58.470299,29,1,93,2475
58.470299,29,1,94,2305
58.470299,29,1,95,2379
58.470299,29,1,96,2411
58.470299,29,1,97,2434
58.470299,29,1,98,2364
58.470299,29,1,99,2397
58.470299,29,1,100,2331
58.470299,29,1,101,2461
58.470299,29,1,102,2462
58.470299,29,1,103,2383
58.470299,29,1,104,2530
58.470299,29,1,105,2591
58.470299,29,1,106,2478
58.470299,29,1,107,2331
58.470299,29,1,108,2279
58.470299,29,1,109,2481
58.470299,29,1,110,2335
58.470299,29,1,111,2520
58.470299,29,1,112,2390
58.470299,29,1,113,2321
58.470299,29,1,114,2541
58.470299,29,1,115,2606
58.470299,29,1,116,2527
58.470299,29,1,117,2441
58.470299,29,1,118,2363
58.470299,29,1,119,2377
58.470299,29,1,120,2202
58.470299,29,1,121,2414
58.470299,29,1,122,2512
58.470299,29,1,123,2346
58.470299,29,1,124,2533
58.470299,29,1,125,2629
58.470299,29,1,126,3125
58.470299,29,1,127,5035
58.470299,29,2,0,4878
58.470299,29,2,1,4628
58.470299,29,2,2,2777
58.470299,29,2,3,2572
58.470299,29,2,4,2363
58.470299,29,2,5,2322
58.470299,29,2,6,2166
58.470299,29,2,7,2530
58.470299,29,2,8,2474
58.470299,29,2,9,2395
58.470299,29,2,10,2382
58.470299,29,2,11,2347
58.470299,29,2,12,2342
58.470299,29,2,13,2427
58.470299,29,2,14,2365
58.470299,29,2,15,2373
58.470299,29,2,16,2463
58.470299,29,2,17,2330
58.470299,29,2,18,2322
58.470299,29,2,19,2295
58.470299,29,2,20,2390
58.470299,29,2,21,2302
58.470299,29,2,22,2442
58.470299,29,2,23,2485
58.470299,29,2,24,2390
58.470299,29,2,25,2252
58.470299,29,2,26,2346
58.470299,29,2,27,2363
58.470299,29,2,28,2351
58.470299,29,2,29,2392
58.470299,29,2,30,2445
58.470299,29,2,31,2487
58.470299,29,2,32,2474
58.470299,29,2,33,2477
58.470299,29,2,34,2396
58.470299,29,2,35,2353
58.470299,29,2,36,2370
58.470299,29,2,37,2397
58.470299,29,2,38,2437
58.470299,29,2,39,2357
58.470299,29,2,40,2359
58.470299,29,2,41,2495
58.470299,29,2,42,2375
58.470299,29,2,43,2364
58.470299,29,2,44,2342
58.470299,29,2,45,2405
58.470299,29,2,46,2386
58.470299,29,2,47,2246
58.470299,29,2,48,2396
58.470299,29,2,49,2494
58.470299,29,2,50,2311
58.470299,29,2,51,2382
58.470299,29,2,52,2257
58.470299,29,2,53,2297
58.470299,29,2,54,2383
58.470299,29,2,55,2352
58.470299,29,2,56,2255
58.470299,29,2,57,2274
58.470299,29,2,58,2468
58.470299,29,2,59,2430
58.470299,29,2,60,2428
58.470299,29,2,61,2365
58.470299,29,2,62,2276
58.470299,29,2,63,2431
58.470299,29,2,64,2316
58.470299,29,2,65,2278
58.470299,29,2,66,2386
58.470299,29,2,67,2279
58.470299,29,2,68,2300
58.470299,29,2,69,2235
58.470299,29,2,70,2280
58.470299,29,2,71,2357
58.470299,29,2,72,2371
58.470299,29,2,73,2272
58.470299,29,2,74,2438
58.470299,29,2,75,2283
58.470299,29,2,76,2364
58.470299,29,2,77,2353
58.470299,29,2,78,2460
58.470299,29,2,79,2277
58.470299,29,2,80,2300
58.470299,29,2,81,2309
58.470299,29,2,82,2316
58.470299,29,2,83,2344
58.470299,29,2,84,2393
58.470299,29,2,85,2466
58.470299,29,2,86,2424
58.470299,29,2,87,2297
58.470299,29,2,88,2463
58.470299,29,2,89,2467
58.470299,29,2,90,2391
58.470299,29,2,91,2327
58.470299,29,2,92,2381
58.470299,29,2,93,2331
58.470299,29,2,94,2279
58.470299,29,2,95,2315
58.470299,29,2,96,2465
58.470299,29,2,97,2477
58.470299,29,2,98,2261
58.470299,29,2,99,2133
58.470299,29,2,100,2366
58.470299,29,2,101,2498
58.470299,29,2,102,2407
58.470299,29,2,103,2374
58.470299,29,2,104,2364
58.470299,29,2,105,2516
58.470299,29,2,106,2392
58.470299,29,2,107,2440
58.470299,29,2,108,2355
58.470299,29,2,109,2462
58.470299,29,2,110,2351
58.470299,29,2,111,2426
58.470299,29,2,112,2439
58.470299,29,2,113,2434
58.470299,29,2,114,2476
58.470299,29,2,115,2365
58.470299,29,2,116,2293
58.470299,29,2,117,2315
58.470299,29,2,118,2319
58.470299,29,2,119,2355
58.470299,29,2,120,2234
58.470299,29,2,121,2386
58.470299,29,2,122,2531
58.470299,29,2,123,2417
58.470299,29,2,124,2356
58.470299,29,2,125,2373
58.470299,29,2,126,2733
58.470299,29,2,127,4627
58.470299,29,3,0,3756
58.470299,29,3,1,3521
58.470299,29,3,2,2486
58.470299,29,3,3,2406
58.470299,29,3,4,2214
58.470299,29,3,5,2385
58.470299,29,3,6,2419
58.470299,29,3,7,2409
58.470299,29,3,8,2307
58.470299,29,3,9,2322
58.470299,29,3,10,2291
58.470299,29,3,11,2334
58.470299,29,3,12,2371
58.470299,29,3,13,2325
58.470299,29,3,14,2418
58.470299,29,3,15,2335
58.470299,29,3,16,2335
58.470299,29,3,17,2202
58.470299,29,3,18,2283
58.470299,29,3,19,2233
58.470299,29,3,20,2249
58.470299,29,3,21,2359
58.470299,29,3,22,2477
58.470299,29,3,23,2416
58.470299,29,3,24,2220
58.470299,29,3,25,2289
58.470299,29,3,26,2440
58.470299,29,3,27,2283
58.470299,29,3,28,2270
58.470299,29,3,29,2265
58.470299,29,3,30,2511
58.470299,29,3,31,2376
58.470299,29,3,32,2326
58.470299,29,3,33,2467
58.470299,29,3,34,2395
58.470299,29,3,35,2338
58.470299,29,3,36,2321
58.470299,29,3,37,2389
58.470299,29,3,38,2420
58.470299,29,3,39,2304
58.470299,29,3,40,2209
58.470299,29,3,41,2465
58.470299,29,3,42,2421
58.470299,29,3,43,2371
58.470299,29,3,44,2324
58.470299,29,3,45,2308
58.470299,29,3,46,2432
58.470299,29,3,47,2356
58.470299,29,3,48,2311
58.470299,29,3,49,2345
58.470299,29,3,50,2299
58.470299,29,3,51,2358
58.470299,29,3,52,2284
58.470299,29,3,53,2469
58.470299,29,3,54,2306
58.470299,29,3,55,2389
58.470299,29,3,56,2365
58.470299,29,3,57,2404
58.470299,29,3,58,2253
58.470299,29,3,59,2280
58.470299,29,3,60,2364
58.470299,29,3,61,2339
58.470299,29,3,62,2428
58.470299,29,3,63,2368
58.470299,29,3,64,2291
58.470299,29,3,65,2343
58.470299,29,3,66,2377
58.470299,29,3,67,2205
58.470299,29,3,68,2319
58.470299,29,3,69,2429
58.470299,29,3,70,2317
58.470299,29,3,71,2265
58.470299,29,3,72,2362
58.470299,29,3,73,2494
58.470299,29,3,74,2375
58.470299,29,3,75,2185
58.470299,29,3,76,2251
58.470299,29,3,77,2256
58.470299,29,3,78,2449
58.470299,29,3,79,2377
58.470299,29,3,80,2398
58.470299,29,3,81,2170
58.470299,29,3,82,2343
58.470299,29,3,83,2316
58.470299,29,3,84,2349
58.470299,29,3,85,2325
58.470299,29,3,86,2395
58.470299,29,3,87,2332
58.470299,29,3,88,2416
58.470299,29,3,89,2382
58.470299,29,3,90,2325
58.470299,29,3,91,2185
58.470299,29,3,92,2317
58.470299,29,3,93,2183
58.470299,29,3,94,2266
58.470299,29,3,95,2416
58.470299,29,3,96,2465
58.470299,29,3,97,2375
58.470299,29,3,98,2389
58.470299,29,3,99,2385
58.470299,29,3,100,2293
58.470299,29,3,101,2352
58.470299,29,3,102,2365
58.470299,29,3,103,2408
58.470299,29,3,104,2268
58.470299,29,3,105,2341
58.470299,29,3,106,2446
58.470299,29,3,107,2420
58.470299,29,3,108,2479
58.470299,29,3,109,2335
58.470299,29,3,110,2252
58.470299,29,3,111,2225
58.470299,29,3,112,2384
58.470299,29,3,113,2436
58.470299,29,3,114,2318
58.470299,29,3,115,2184
58.470299,29,3,116,2309
58.470299,29,3,117,2365
58.470299,29,3,118,2452
58.470299,29,3,119,2407
58.470299,29,3,120,2268
58.470299,29,3,121,2499
58.470299,29,3,122,2538
58.470299,29,3,123,2303
58.470299,29,3,124,2115
58.470299,29,3,125,2383
58.470299,29,3,126,2456
58.470299,29,3,127,3498
58.470299,29,4,0,3036
58.470299,29,4,1,2811
58.470299,29,4,2,2444
58.470299,29,4,3,2393
58.470299,29,4,4,2383
58.470299,29,4,5,2473
58.470299,29,4,6,2438
58.470299,29,4,7,2394
58.470299,29,4,8,2369
58.470299,29,4,9,2334
58.470299,29,4,10,2375
58.470299,29,4,11,2258
58.470299,29,4,12,2351
58.470299,29,4,13,2282
58.470299,29,4,14,2300
58.470299,29,4,15,2427
58.470299,29,4,16,2415
58.470299,29,4,17,2391
58.470299,29,4,18,2346
58.470299,29,4,19,2187
58.470299,29,4,20,2230
58.470299,29,4,21,2370
58.470299,29,4,22,2445
58.470299,29,4,23,2416
58.470299,29,4,24,2225
58.470299,29,4,25,2339
58.470299,29,4,26,2454
58.470299,29,4,27,2450
58.470299,29,4,28,2303
58.470299,29,4,29,2316
58.470299,29,4,30,2542
58.470299,29,4,31,2471
58.470299,29,4,32,2261
58.470299,29,4,33,2351
58.470299,29,4,34,2350
58.470299,29,4,35,2309
58.470299,29,4,36,2263
58.470299,29,4,37,2431
58.470299,29,4,38,2452
58.470299,29,4,39,2399
58.470299,29,4,40,2361
58.470299,29,4,41,2504
58.470299,29,4,42,2510
58.470299,29,4,43,2188
58.470299,29,4,44,2329
58.470299,29,4,45,2241
58.470299,29,4,46,2380
58.470299,29,4,47,2317
