sample_id,activity,distance_m,orientation,condition,source_points_csv,frame_start,frame_end,valid_frames,num_frames,points_per_frame,feature_dim,npz_path
Approaching__1m__f000001-000033__000,Approaching,1.0,,1m,Approaching/1m/points_cloud.csv,1,33,32,32,64,6,samples/Approaching__1m__f000001-000033__000.npz
Approaching__2m__f000001-000032__000,Approaching,2.0,,2m,Approaching/2m/points_cloud.csv,1,32,32,32,64,6,samples/Approaching__2m__f000001-000032__000.npz
Approaching__2m__f000017-000048__001,Approaching,2.0,,2m,Approaching/2m/points_cloud.csv,17,48,32,32,64,6,samples/Approaching__2m__f000017-000048__001.npz
Approaching__2m__f000033-000064__002,Approaching,2.0,,2m,Approaching/2m/points_cloud.csv,33,64,32,32,64,6,samples/Approaching__2m__f000033-000064__002.npz
Approaching__3m__f000001-000028__000,Approaching,3.0,,3m,Approaching/3m/points_cloud.csv,1,28,28,32,64,6,samples/Approaching__3m__f000001-000028__000.npz
Approaching__radar_data_20251209_173331__f000001-000032__000,Approaching,nan,,radar_data_20251209_173331,Approaching/radar_data_20251209_173331/points_cloud.csv,1,32,32,32,64,6,samples/Approaching__radar_data_20251209_173331__f000001-000032__000.npz
Approaching__radar_data_20251209_173758__f000001-000026__000,Approaching,nan,,radar_data_20251209_173758,Approaching/radar_data_20251209_173758/points_cloud.csv,1,26,26,32,64,6,samples/Approaching__radar_data_20251209_173758__f000001-000026__000.npz
Sitting__1m__f000001-000017__000,Sitting,1.0,,1m,Sitting/1m/points_cloud.csv,1,17,17,32,64,6,samples/Sitting__1m__f000001-000017__000.npz
Sitting__2m__f000001-000032__000,Sitting,2.0,,2m,Sitting/2m/points_cloud.csv,1,32,32,32,64,6,samples/Sitting__2m__f000001-000032__000.npz
Sitting__3m__f000001-000019__000,Sitting,3.0,,3m,Sitting/3m/points_cloud.csv,1,19,19,32,64,6,samples/Sitting__3m__f000001-000019__000.npz
Sitting__radar_data_20251209_181620__f000001-000026__000,Sitting,nan,,radar_data_20251209_181620,Sitting/radar_data_20251209_181620/points_cloud.csv,1,26,26,32,64,6,samples/Sitting__radar_data_20251209_181620__f000001-000026__000.npz
Sitting__radar_data_20251209_181936__f000001-000022__000,Sitting,nan,,radar_data_20251209_181936,Sitting/radar_data_20251209_181936/points_cloud.csv,1,22,22,32,64,6,samples/Sitting__radar_data_20251209_181936__f000001-000022__000.npz
Splitting__1m__f000001-000032__000,Splitting,1.0,,1m,Splitting/1m/points_cloud.csv,1,32,32,32,64,6,samples/Splitting__1m__f000001-000032__000.npz
Splitting__2m__f000001-000018__000,Splitting,2.0,,2m,Splitting/2m/points_cloud.csv,1,18,18,32,64,6,samples/Splitting__2m__f000001-000018__000.npz
Splitting__3m__f000001-000017__000,Splitting,3.0,,3m,Splitting/3m/points_cloud.csv,1,17,17,32,64,6,samples/Splitting__3m__f000001-000017__000.npz
Splitting__radar_data_20251209_175017__f000001-000024__000,Splitting,nan,,radar_data_20251209_175017,Splitting/radar_data_20251209_175017/points_cloud.csv,1,24,24,32,64,6,samples/Splitting__radar_data_20251209_175017__f000001-000024__000.npz
Splitting__radar_data_20251209_175130__f000001-000019__000,Splitting,nan,,radar_data_20251209_175130,Splitting/radar_data_20251209_175130/points_cloud.csv,1,19,19,32,64,6,samples/Splitting__radar_data_20251209_175130__f000001-000019__000.npz
