timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
1561.798124,1131,0,0,5188
1561.798124,1131,0,1,4939
1561.798124,1131,0,2,2977
1561.798124,1131,0,3,2696
1561.798124,1131,0,4,2491
1561.798124,1131,0,5,2309
1561.798124,1131,0,6,2486
1561.798124,1131,0,7,2387
1561.798124,1131,0,8,2254
1561.798124,1131,0,9,2224
1561.798124,1131,0,10,2386
1561.798124,1131,0,11,2431
1561.798124,1131,0,12,2255
1561.798124,1131,0,13,2371
1561.798124,1131,0,14,2216
1561.798124,1131,0,15,2363
1561.798124,1131,0,16,2498
1561.798124,1131,0,17,2426
1561.798124,1131,0,18,2377
1561.798124,1131,0,19,2304
1561.798124,1131,0,20,2291
1561.798124,1131,0,21,2286
1561.798124,1131,0,22,2319
1561.798124,1131,0,23,2346
1561.798124,1131,0,24,2431
1561.798124,1131,0,25,2229
1561.798124,1131,0,26,2444
1561.798124,1131,0,27,2532
1561.798124,1131,0,28,2332
1561.798124,1131,0,29,2391
1561.798124,1131,0,30,2226
1561.798124,1131,0,31,2330
1561.798124,1131,0,32,2383
1561.798124,1131,0,33,2312
1561.798124,1131,0,34,2385
1561.798124,1131,0,35,2446
1561.798124,1131,0,36,2398
1561.798124,1131,0,37,2435
1561.798124,1131,0,38,2493
1561.798124,1131,0,39,2444
1561.798124,1131,0,40,2381
1561.798124,1131,0,41,2267
1561.798124,1131,0,42,2282
1561.798124,1131,0,43,2330
1561.798124,1131,0,44,2197
1561.798124,1131,0,45,2155
1561.798124,1131,0,46,2323
1561.798124,1131,0,47,2232
1561.798124,1131,0,48,2256
1561.798124,1131,0,49,2182
1561.798124,1131,0,50,2282
1561.798124,1131,0,51,2180
1561.798124,1131,0,52,2344
1561.798124,1131,0,53,2236
1561.798124,1131,0,54,2333
1561.798124,1131,0,55,2373
1561.798124,1131,0,56,2283
1561.798124,1131,0,57,2135
1561.798124,1131,0,58,2257
1561.798124,1131,0,59,2150
1561.798124,1131,0,60,2336
1561.798124,1131,0,61,2201
1561.798124,1131,0,62,2319
1561.798124,1131,0,63,2212
1561.798124,1131,0,64,2151
1561.798124,1131,0,65,2310
1561.798124,1131,0,66,2332
1561.798124,1131,0,67,2303
1561.798124,1131,0,68,2341
1561.798124,1131,0,69,2355
1561.798124,1131,0,70,2186
1561.798124,1131,0,71,2339
1561.798124,1131,0,72,2317
1561.798124,1131,0,73,2300
1561.798124,1131,0,74,2463
1561.798124,1131,0,75,2527
1561.798124,1131,0,76,2452
1561.798124,1131,0,77,2357
1561.798124,1131,0,78,2423
1561.798124,1131,0,79,2385
1561.798124,1131,0,80,2394
1561.798124,1131,0,81,2361
1561.798124,1131,0,82,2395
1561.798124,1131,0,83,2410
1561.798124,1131,0,84,2368
1561.798124,1131,0,85,2321
1561.798124,1131,0,86,2263
1561.798124,1131,0,87,2459
1561.798124,1131,0,88,2377
1561.798124,1131,0,89,2398
1561.798124,1131,0,90,2343
1561.798124,1131,0,91,2207
1561.798124,1131,0,92,2202
1561.798124,1131,0,93,2172
1561.798124,1131,0,94,2167
1561.798124,1131,0,95,2324
1561.798124,1131,0,96,2419
1561.798124,1131,0,97,2386
1561.798124,1131,0,98,2291
1561.798124,1131,0,99,2409
1561.798124,1131,0,100,2348
1561.798124,1131,0,101,2243
1561.798124,1131,0,102,2415
1561.798124,1131,0,103,2379
1561.798124,1131,0,104,2278
1561.798124,1131,0,105,2223
1561.798124,1131,0,106,2119
1561.798124,1131,0,107,2384
1561.798124,1131,0,108,2428
1561.798124,1131,0,109,2479
1561.798124,1131,0,110,2537
1561.798124,1131,0,111,2386
1561.798124,1131,0,112,2261
1561.798124,1131,0,113,2430
1561.798124,1131,0,114,2445
1561.798124,1131,0,115,2364
1561.798124,1131,0,116,2346
1561.798124,1131,0,117,2410
1561.798124,1131,0,118,2416
1561.798124,1131,0,119,2391
1561.798124,1131,0,120,2436
1561.798124,1131,0,121,2477
1561.798124,1131,0,122,2360
1561.798124,1131,0,123,2508
1561.798124,1131,0,124,2331
1561.798124,1131,0,125,2724
1561.798124,1131,0,126,2956
1561.798124,1131,0,127,4938
1561.798124,1131,1,0,5181
1561.798124,1131,1,1,4929
1561.798124,1131,1,2,2966
1561.798124,1131,1,3,2663
1561.798124,1131,1,4,2517
1561.798124,1131,1,5,2264
1561.798124,1131,1,6,2527
1561.798124,1131,1,7,2435
1561.798124,1131,1,8,2410
1561.798124,1131,1,9,2239
1561.798124,1131,1,10,2356
1561.798124,1131,1,11,2389
1561.798124,1131,1,12,2417
1561.798124,1131,1,13,2543
1561.798124,1131,1,14,2368
1561.798124,1131,1,15,2421
1561.798124,1131,1,16,2536
1561.798124,1131,1,17,2514
1561.798124,1131,1,18,2414
1561.798124,1131,1,19,2281
1561.798124,1131,1,20,2424
1561.798124,1131,1,21,2330
1561.798124,1131,1,22,2384
1561.798124,1131,1,23,2410
1561.798124,1131,1,24,2410
1561.798124,1131,1,25,2338
1561.798124,1131,1,26,2209
1561.798124,1131,1,27,2545
1561.798124,1131,1,28,2365
1561.798124,1131,1,29,2420
1561.798124,1131,1,30,2297
1561.798124,1131,1,31,2126
1561.798124,1131,1,32,2404
1561.798124,1131,1,33,2337
1561.798124,1131,1,34,2392
1561.798124,1131,1,35,2321
1561.798124,1131,1,36,2409
1561.798124,1131,1,37,2431
1561.798124,1131,1,38,2544
1561.798124,1131,1,39,2490
1561.798124,1131,1,40,2373
1561.798124,1131,1,41,2407
1561.798124,1131,1,42,2367
