timestamp_s,frame_number,point_index,snr,noise
3687.560692,1704,0,15.200000000000001,85.10000000000001
3687.560692,1704,1,30.6,55.800000000000004
3687.560692,1704,2,37.7,54.7
3687.560692,1704,3,35.6,57.1
3688.578315,1705,0,32.6,54.900000000000006
3688.578315,1705,1,36.300000000000004,56.5
3688.578315,1705,2,21.700000000000003,65.8
3688.578315,1705,3,21.700000000000003,65.8
3688.578315,1705,4,22.1,67.0
3689.559674,1706,0,17.3,57.0
3689.559674,1706,1,35.6,56.6
3689.559674,1706,2,38.0,55.800000000000004
3689.559674,1706,3,19.1,65.60000000000001
3691.392653,1707,0,15.3,85.4
3691.392653,1707,1,18.5,63.7
3691.392653,1707,2,31.900000000000002,57.300000000000004
3691.392653,1707,3,45.800000000000004,54.6
3691.392653,1707,4,19.6,71.3
3691.392653,1707,5,19.6,71.3
3692.566621,1708,0,24.8,67.0
3692.566621,1708,1,23.8,66.9
3692.566621,1708,2,40.6,62.300000000000004
3692.566621,1708,3,17.1,72.5
3692.566621,1708,4,17.1,72.5
3693.57205,1709,0,15.5,85.7
3693.57205,1709,1,52.6,54.6
3693.57205,1709,2,34.5,65.8
3693.57205,1709,3,34.5,65.8
3693.57205,1709,4,23.1,72.3
3694.561721,1710,0,25.900000000000002,66.8
3694.561721,1710,1,21.1,76.7
3694.561721,1710,2,41.0,75.10000000000001
3694.561721,1710,3,29.8,65.4
3694.561721,1710,4,29.8,65.4
3695.570995,1711,0,36.4,70.7
3695.570995,1711,1,23.5,67.0
3695.570995,1711,2,23.5,67.0
3695.570995,1711,3,29.5,79.9
3695.570995,1711,4,21.200000000000003,71.4
3695.570995,1711,5,21.200000000000003,71.4
3695.570995,1711,6,16.3,58.5
3697.390691,1712,0,38.2,72.8
3697.390691,1712,1,15.200000000000001,73.0
3697.390691,1712,2,15.200000000000001,73.0
3699.387233,1713,0,18.6,67.60000000000001
3699.387233,1713,1,30.400000000000002,77.9
3700.569481,1714,0,17.0,97.5
3700.569481,1714,1,35.800000000000004,74.60000000000001
3701.563282,1715,0,35.9,70.5
