timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,19.5,89.4
0.0,1,1,17.5,87.4
0.0,1,2,35.4,56.1
0.0,1,3,15.8,65.8
0.0,1,4,15.8,65.8
0.0,1,5,33.300000000000004,57.5
0.0,1,6,33.300000000000004,57.5
1.019707,2,0,19.8,89.0
1.019707,2,1,16.8,89.10000000000001
2.013027,3,0,20.700000000000003,81.7
2.013027,3,1,20.700000000000003,81.7
2.013027,3,2,20.200000000000003,88.60000000000001
2.013027,3,3,15.9,88.60000000000001
3.012587,4,0,20.200000000000003,88.60000000000001
3.012587,4,1,16.7,88.10000000000001
3.012587,4,2,46.7,54.900000000000006
4.829507,5,0,20.1,88.80000000000001
4.829507,5,1,18.3,86.9
6.00931,6,0,19.8,89.10000000000001
6.00931,6,1,16.900000000000002,88.4
6.00931,6,2,38.1,57.6
7.012509,7,0,19.5,89.4
7.012509,7,1,16.8,88.10000000000001
7.012509,7,2,43.5,55.5
7.012509,7,3,15.700000000000001,67.3
7.012509,7,4,15.700000000000001,67.3
8.015534,8,0,19.3,89.60000000000001
8.015534,8,1,15.5,89.30000000000001
9.001309,9,0,19.6,89.30000000000001
9.001309,9,1,15.600000000000001,89.0
9.001309,9,2,32.5,55.1
9.001309,9,3,32.5,55.1
9.001309,9,4,20.200000000000003,68.10000000000001
9.001309,9,5,20.200000000000003,68.10000000000001
9.001309,9,6,37.300000000000004,57.400000000000006
10.017819,10,0,20.0,82.5
10.017819,10,1,20.0,82.5
10.017819,10,2,19.5,89.30000000000001
10.017819,10,3,16.2,89.10000000000001
10.017819,10,4,42.300000000000004,56.0
10.017819,10,5,33.300000000000004,62.7
10.017819,10,6,33.300000000000004,62.7
11.819918,11,0,19.8,82.60000000000001
11.819918,11,1,19.8,82.60000000000001
11.819918,11,2,19.6,89.30000000000001
11.819918,11,3,16.900000000000002,88.7
13.010039,12,0,19.400000000000002,89.4
13.010039,12,1,16.400000000000002,87.5
13.010039,12,2,23.900000000000002,55.2
13.010039,12,3,43.300000000000004,56.300000000000004
13.010039,12,4,26.8,66.3
13.010039,12,5,26.8,66.3
14.012823,13,0,19.6,89.2
14.012823,13,1,16.2,87.7
14.012823,13,2,49.2,53.300000000000004
