timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
0.0,1,0,0,3798
0.0,1,0,1,3576
0.0,1,0,2,2460
0.0,1,0,3,2121
0.0,1,0,4,2003
0.0,1,0,5,2133
0.0,1,0,6,2036
0.0,1,0,7,2117
0.0,1,0,8,2175
0.0,1,0,9,2152
0.0,1,0,10,2062
0.0,1,0,11,2218
0.0,1,0,12,2181
0.0,1,0,13,2319
0.0,1,0,14,2401
0.0,1,0,15,3562
0.0,1,1,0,4308
0.0,1,1,1,4082
0.0,1,1,2,2984
0.0,1,1,3,2594
0.0,1,1,4,2372
0.0,1,1,5,2265
0.0,1,1,6,2251
0.0,1,1,7,1932
0.0,1,1,8,1982
0.0,1,1,9,2058
0.0,1,1,10,2032
0.0,1,1,11,2377
0.0,1,1,12,2337
0.0,1,1,13,2675
0.0,1,1,14,2931
0.0,1,1,15,4085
0.0,1,2,0,4604
0.0,1,2,1,4375
0.0,1,2,2,3252
0.0,1,2,3,2872
0.0,1,2,4,2514
0.0,1,2,5,2466
0.0,1,2,6,2300
0.0,1,2,7,2016
0.0,1,2,8,2023
0.0,1,2,9,2067
0.0,1,2,10,2304
0.0,1,2,11,2476
0.0,1,2,12,2640
0.0,1,2,13,2881
0.0,1,2,14,3228
0.0,1,2,15,4377
0.0,1,3,0,4525
0.0,1,3,1,4301
0.0,1,3,2,3179
0.0,1,3,3,2753
0.0,1,3,4,2553
0.0,1,3,5,2374
0.0,1,3,6,2213
0.0,1,3,7,2207
0.0,1,3,8,2035
0.0,1,3,9,1979
0.0,1,3,10,2253
0.0,1,3,11,2388
0.0,1,3,12,2603
0.0,1,3,13,2801
0.0,1,3,14,3169
0.0,1,3,15,4304
0.0,1,4,0,4102
0.0,1,4,1,3885
0.0,1,4,2,2760
0.0,1,4,3,2503
0.0,1,4,4,2204
0.0,1,4,5,2141
0.0,1,4,6,1911
0.0,1,4,7,2098
0.0,1,4,8,2097
0.0,1,4,9,2079
0.0,1,4,10,2037
0.0,1,4,11,2101
0.0,1,4,12,2177
0.0,1,4,13,2393
0.0,1,4,14,2750
0.0,1,4,15,3886
0.0,1,5,0,3814
0.0,1,5,1,3592
0.0,1,5,2,2557
0.0,1,5,3,2150
0.0,1,5,4,2246
0.0,1,5,5,2107
0.0,1,5,6,2051
0.0,1,5,7,2095
0.0,1,5,8,2064
0.0,1,5,9,2027
0.0,1,5,10,1972
0.0,1,5,11,1853
0.0,1,5,12,2031
0.0,1,5,13,2164
0.0,1,5,14,2525
0.0,1,5,15,3584
0.0,1,6,0,3320
0.0,1,6,1,3075
0.0,1,6,2,2294
0.0,1,6,3,2101
0.0,1,6,4,2200
0.0,1,6,5,2197
0.0,1,6,6,2026
0.0,1,6,7,2203
0.0,1,6,8,2047
0.0,1,6,9,2069
0.0,1,6,10,2049
0.0,1,6,11,2000
0.0,1,6,12,2102
0.0,1,6,13,2168
0.0,1,6,14,2313
0.0,1,6,15,3089
0.0,1,7,0,3073
0.0,1,7,1,2884
0.0,1,7,2,2285
0.0,1,7,3,2225
0.0,1,7,4,2132
0.0,1,7,5,2195
0.0,1,7,6,1993
0.0,1,7,7,2111
0.0,1,7,8,1966
