timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,20.3,83.5
0.0,1,1,20.3,83.5
0.0,1,2,18.900000000000002,90.4
0.0,1,3,18.3,89.4
1.001009,2,0,20.6,83.10000000000001
1.001009,2,1,20.6,83.10000000000001
1.001009,2,2,18.5,90.4
1.001009,2,3,17.900000000000002,90.10000000000001
2.013145,3,0,20.400000000000002,83.4
2.013145,3,1,20.400000000000002,83.4
2.013145,3,2,19.200000000000003,90.60000000000001
2.013145,3,3,18.1,89.60000000000001
3.012762,4,0,20.700000000000003,83.10000000000001
3.012762,4,1,20.700000000000003,83.10000000000001
3.012762,4,2,19.1,90.2
3.012762,4,3,18.0,89.7
4.008611,5,0,19.700000000000003,84.2
4.008611,5,1,19.700000000000003,84.2
4.008611,5,2,17.8,90.9
4.008611,5,3,17.8,90.0
4.008611,5,4,26.700000000000003,56.2
4.008611,5,5,23.900000000000002,54.7
5.013107,6,0,20.3,83.5
5.013107,6,1,20.3,83.5
5.013107,6,2,19.400000000000002,90.30000000000001
5.013107,6,3,18.2,89.7
6.000664,7,0,20.6,83.2
6.000664,7,1,20.6,83.2
6.000664,7,2,19.3,90.0
6.000664,7,3,18.3,89.7
7.813724,8,0,20.3,83.5
7.813724,8,1,20.3,83.5
7.813724,8,2,19.0,90.4
7.813724,8,3,17.400000000000002,90.60000000000001
9.014847,9,0,20.8,82.9
9.014847,9,1,20.8,82.9
9.014847,9,2,19.200000000000003,89.9
9.014847,9,3,17.1,90.7
10.012509,10,0,20.400000000000002,83.4
10.012509,10,1,20.400000000000002,83.4
10.012509,10,2,18.5,90.30000000000001
10.012509,10,3,17.1,90.7
10.996998,11,0,20.700000000000003,83.0
10.996998,11,1,20.700000000000003,83.0
10.996998,11,2,19.3,89.80000000000001
10.996998,11,3,18.2,89.80000000000001
10.996998,11,4,18.2,89.80000000000001
10.996998,11,5,25.5,56.6
12.00702,12,0,20.3,83.60000000000001
12.00702,12,1,20.3,83.60000000000001
12.00702,12,2,18.400000000000002,90.7
12.00702,12,3,17.5,90.30000000000001
12.00702,12,4,17.5,90.30000000000001
13.011031,13,0,20.5,83.2
13.011031,13,1,20.5,83.2
13.011031,13,2,18.900000000000002,90.60000000000001
13.011031,13,3,18.1,89.80000000000001
14.014979,14,0,20.900000000000002,82.9
14.014979,14,1,20.900000000000002,82.9
14.014979,14,2,19.1,90.5
14.014979,14,3,17.5,90.2
14.014979,14,4,17.5,90.2
14.014979,14,5,34.4,55.900000000000006
14.014979,14,6,33.6,56.7
14.014979,14,7,33.4,55.5
14.998401,15,0,20.700000000000003,83.10000000000001
14.998401,15,1,20.700000000000003,83.10000000000001
14.998401,15,2,18.6,90.30000000000001
14.998401,15,3,17.400000000000002,90.4
16.012137,16,0,20.3,83.5
16.012137,16,1,20.3,83.5
16.012137,16,2,18.400000000000002,90.80000000000001
16.012137,16,3,17.6,90.30000000000001
17.003777,17,0,20.700000000000003,83.10000000000001
17.003777,17,1,20.700000000000003,83.10000000000001
17.003777,17,2,18.900000000000002,90.2
17.003777,17,3,18.0,90.0
