timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
0.0,1,0,0,3794
0.0,1,0,1,3567
0.0,1,0,2,2428
0.0,1,0,3,2102
0.0,1,0,4,2135
0.0,1,0,5,2018
0.0,1,0,6,2042
0.0,1,0,7,2091
0.0,1,0,8,2074
0.0,1,0,9,2074
0.0,1,0,10,2068
0.0,1,0,11,1970
0.0,1,0,12,1996
0.0,1,0,13,2290
0.0,1,0,14,2510
0.0,1,0,15,3561
0.0,1,1,0,4322
0.0,1,1,1,4096
0.0,1,1,2,3010
0.0,1,1,3,2585
0.0,1,1,4,2444
0.0,1,1,5,2217
0.0,1,1,6,2108
0.0,1,1,7,2242
0.0,1,1,8,2143
0.0,1,1,9,2179
0.0,1,1,10,2248
0.0,1,1,11,2236
0.0,1,1,12,2330
0.0,1,1,13,2615
0.0,1,1,14,3002
0.0,1,1,15,4097
0.0,1,2,0,4641
0.0,1,2,1,4418
0.0,1,2,2,3294
0.0,1,2,3,2882
0.0,1,2,4,2646
0.0,1,2,5,2372
0.0,1,2,6,2200
0.0,1,2,7,2192
0.0,1,2,8,2025
0.0,1,2,9,2210
0.0,1,2,10,2360
0.0,1,2,11,2410
0.0,1,2,12,2612
0.0,1,2,13,2884
0.0,1,2,14,3286
0.0,1,2,15,4413
0.0,1,3,0,4571
0.0,1,3,1,4348
0.0,1,3,2,3223
0.0,1,3,3,2826
0.0,1,3,4,2598
0.0,1,3,5,2346
0.0,1,3,6,2293
0.0,1,3,7,2132
0.0,1,3,8,1994
0.0,1,3,9,2147
0.0,1,3,10,2209
0.0,1,3,11,2437
0.0,1,3,12,2515
0.0,1,3,13,2842
0.0,1,3,14,3217
0.0,1,3,15,4351
0.0,1,4,0,4103
0.0,1,4,1,3885
0.0,1,4,2,2796
0.0,1,4,3,2371
0.0,1,4,4,2298
0.0,1,4,5,2211
0.0,1,4,6,2256
0.0,1,4,7,2010
0.0,1,4,8,2016
0.0,1,4,9,2165
0.0,1,4,10,2051
0.0,1,4,11,2172
0.0,1,4,12,2218
0.0,1,4,13,2398
0.0,1,4,14,2722
0.0,1,4,15,3874
0.0,1,5,0,3833
0.0,1,5,1,3613
0.0,1,5,2,2511
0.0,1,5,3,2281
0.0,1,5,4,2186
0.0,1,5,5,2146
0.0,1,5,6,2151
0.0,1,5,7,2030
0.0,1,5,8,2028
0.0,1,5,9,1957
0.0,1,5,10,2166
0.0,1,5,11,2127
0.0,1,5,12,2156
0.0,1,5,13,2205
0.0,1,5,14,2548
0.0,1,5,15,3614
0.0,1,6,0,3366
0.0,1,6,1,3144
0.0,1,6,2,2249
0.0,1,6,3,2217
0.0,1,6,4,2218
0.0,1,6,5,2209
0.0,1,6,6,2099
0.0,1,6,7,2121
0.0,1,6,8,2173
0.0,1,6,9,2234
0.0,1,6,10,2275
0.0,1,6,11,2214
0.0,1,6,12,2168
0.0,1,6,13,2133
0.0,1,6,14,2253
0.0,1,6,15,3163
0.0,1,7,0,2928
0.0,1,7,1,2736
0.0,1,7,2,2112
0.0,1,7,3,2058
0.0,1,7,4,2164
0.0,1,7,5,2266
0.0,1,7,6,2277
0.0,1,7,7,2121
0.0,1,7,8,2113
0.0,1,7,9,2377
0.0,1,7,10,2337
0.0,1,7,11,2082
0.0,1,7,12,2116
0.0,1,7,13,2051
0.0,1,7,14,1983
0.0,1,7,15,2682
0.0,1,8,0,2691
0.0,1,8,1,2475
0.0,1,8,2,2048
0.0,1,8,3,2015
0.0,1,8,4,2071
0.0,1,8,5,2202
0.0,1,8,6,2256
0.0,1,8,7,2216
0.0,1,8,8,2020
0.0,1,8,9,2304
0.0,1,8,10,2148
0.0,1,8,11,1934
0.0,1,8,12,2082
0.0,1,8,13,1978
0.0,1,8,14,1986
0.0,1,8,15,2467
0.0,1,9,0,2462
0.0,1,9,1,2337
0.0,1,9,2,2026
0.0,1,9,3,2010
0.0,1,9,4,1957
0.0,1,9,5,2131
0.0,1,9,6,2187
0.0,1,9,7,2260
0.0,1,9,8,2079
0.0,1,9,9,2100
0.0,1,9,10,2025
0.0,1,9,11,1990
0.0,1,9,12,1941
0.0,1,9,13,2075
0.0,1,9,14,1977
0.0,1,9,15,2321
0.0,1,10,0,2338
0.0,1,10,1,2150
0.0,1,10,2,2065
0.0,1,10,3,2152
0.0,1,10,4,2139
0.0,1,10,5,2051
0.0,1,10,6,2159
0.0,1,10,7,2301
0.0,1,10,8,2143
0.0,1,10,9,2054
0.0,1,10,10,2059
0.0,1,10,11,2139
0.0,1,10,12,2157
0.0,1,10,13,2075
0.0,1,10,14,2075
0.0,1,10,15,2227
0.0,1,11,0,2289
0.0,1,11,1,2117
0.0,1,11,2,2021
0.0,1,11,3,2183
0.0,1,11,4,2234
0.0,1,11,5,2065
0.0,1,11,6,2066
0.0,1,11,7,2131
0.0,1,11,8,2195
0.0,1,11,9,2145
0.0,1,11,10,2162
0.0,1,11,11,2175
0.0,1,11,12,2174
0.0,1,11,13,2126
0.0,1,11,14,2094
0.0,1,11,15,2279
0.0,1,12,0,2560
0.0,1,12,1,2281
0.0,1,12,2,2044
0.0,1,12,3,2034
0.0,1,12,4,2098
0.0,1,12,5,2074
0.0,1,12,6,2139
0.0,1,12,7,1970
0.0,1,12,8,2096
0.0,1,12,9,1993
0.0,1,12,10,2042
0.0,1,12,11,2138
0.0,1,12,12,2212
0.0,1,12,13,2222
0.0,1,12,14,2058
0.0,1,12,15,2405
0.0,1,13,0,2502
0.0,1,13,1,2301
0.0,1,13,2,2074
0.0,1,13,3,2111
0.0,1,13,4,2053
0.0,1,13,5,2087
0.0,1,13,6,2148
0.0,1,13,7,2152
0.0,1,13,8,2124
0.0,1,13,9,1970
0.0,1,13,10,2017
0.0,1,13,11,2179
0.0,1,13,12,2207
0.0,1,13,13,2238
0.0,1,13,14,2061
0.0,1,13,15,2332
0.0,1,14,0,2239
0.0,1,14,1,2181
0.0,1,14,2,2129
0.0,1,14,3,2058
0.0,1,14,4,2026
0.0,1,14,5,2059
0.0,1,14,6,2134
0.0,1,14,7,2103
0.0,1,14,8,2162
0.0,1,14,9,2073
0.0,1,14,10,1957
0.0,1,14,11,2059
0.0,1,14,12,2047
0.0,1,14,13,2100
0.0,1,14,14,2173
0.0,1,14,15,2194
0.0,1,15,0,2283
0.0,1,15,1,2123
0.0,1,15,2,2089
0.0,1,15,3,2111
0.0,1,15,4,2150
