frame_number,point_index,x,y,z,doppler,range,aoa
1,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
1,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
1,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
1,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
2,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
2,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
2,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
2,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
3,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
3,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
3,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
3,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
3,4,-1.3822805881500244,6.279210567474365,0.0,0.0,6.429555581458031,102.41485333825668
4,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
4,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
4,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
4,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
4,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
5,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
5,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
5,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
5,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
5,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
6,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
6,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
6,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
6,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
6,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
6,5,-0.1513926386833191,4.927000522613525,0.0,-0.14765694737434387,4.929325905322294,91.75998172281531
6,6,-5.50937557220459,1.7696105241775513,0.0,-0.14765694737434387,5.786600090112034,162.1929902816475
6,7,-0.888608992099762,5.717964172363281,0.0,-0.14765694737434387,5.786600056792473,98.83347777574109
7,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
7,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
7,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
7,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
7,4,-1.3822805881500244,6.279210567474365,0.0,0.0,6.429555581458031,102.41485333825668
7,5,-0.47392478585243225,5.121764659881592,0.0,0.09843796491622925,5.143644421405631,95.28661302454424
8,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
8,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
8,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
8,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
8,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
9,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
9,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
9,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
9,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
9,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
10,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
10,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
10,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
10,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
10,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
11,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
11,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
11,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
11,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
11,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
12,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
12,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
12,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
12,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
12,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
13,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
13,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
13,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
13,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
13,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
14,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
14,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
14,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
14,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
14,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
15,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
15,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
15,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
15,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
15,4,-1.5797492265701294,6.232461452484131,0.0,0.0,6.429555457070848,104.22327381159393
16,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
16,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
16,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
16,3,0.9873433113098145,6.353293418884277,0.0,0.0,6.429555511917329,81.1665221958873
17,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
17,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
17,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
17,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
17,4,-0.1513926386833191,4.927000522613525,0.0,0.14765694737434387,4.929325905322294,91.75998172281531
18,0,1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,56.43878346768508
18,1,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
