timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,18.5,89.5
0.0,1,1,17.6,87.5
0.0,1,2,40.2,55.0
0.0,1,3,33.6,62.400000000000006
0.0,1,4,33.6,62.400000000000006
0.0,1,5,27.5,60.300000000000004
0.0,1,6,39.400000000000006,56.400000000000006
0.0,1,7,35.7,53.900000000000006
0.992273,2,0,18.7,89.30000000000001
0.992273,2,1,37.9,56.400000000000006
0.992273,2,2,50.0,53.900000000000006
0.992273,2,3,21.3,66.0
0.992273,2,4,21.3,66.0
1.989827,3,0,19.1,89.10000000000001
1.989827,3,1,16.6,87.0
1.989827,3,2,32.6,58.0
1.989827,3,3,42.300000000000004,57.0
1.989827,3,4,16.0,70.60000000000001
1.989827,3,5,16.0,70.60000000000001
1.989827,3,6,18.0,70.2
1.989827,3,7,18.0,70.2
1.989827,3,8,44.400000000000006,56.2
3.010622,4,0,18.0,90.2
3.010622,4,1,16.0,87.7
3.010622,4,2,17.2,66.10000000000001
3.010622,4,3,36.0,61.6
3.010622,4,4,17.8,72.2
3.010622,4,5,47.6,53.800000000000004
3.010622,4,6,20.1,68.4
3.010622,4,7,20.1,68.4
3.010622,4,8,17.900000000000002,70.3
3.010622,4,9,46.7,54.2
3.992801,5,0,18.5,89.7
3.992801,5,1,18.1,87.5
3.992801,5,2,36.7,55.0
3.992801,5,3,18.400000000000002,66.4
3.992801,5,4,34.4,56.2
3.992801,5,5,16.7,71.8
3.992801,5,6,16.7,71.8
3.992801,5,7,41.300000000000004,54.7
4.993793,6,0,18.2,90.0
4.993793,6,1,16.1,88.30000000000001
4.993793,6,2,29.900000000000002,56.0
4.993793,6,3,36.800000000000004,54.900000000000006
4.993793,6,4,38.6,58.900000000000006
4.993793,6,5,36.1,56.7
4.993793,6,6,26.200000000000003,54.900000000000006
5.984326,7,0,19.0,89.30000000000001
5.984326,7,1,16.3,72.8
5.984326,7,2,16.3,72.8
5.984326,7,3,42.1,55.400000000000006
5.984326,7,4,33.2,59.2
7.00028,8,0,19.200000000000003,89.10000000000001
7.00028,8,1,45.300000000000004,55.6
7.00028,8,2,17.3,70.10000000000001
7.00028,8,3,17.3,70.10000000000001
7.00028,8,4,27.200000000000003,58.5
7.997537,9,0,19.0,89.30000000000001
7.997537,9,1,15.9,88.80000000000001
7.997537,9,2,39.7,53.900000000000006
7.997537,9,3,18.900000000000002,70.60000000000001
7.997537,9,4,18.900000000000002,70.60000000000001
7.997537,9,5,25.3,54.7
7.997537,9,6,30.200000000000003,56.2
8.999534,10,0,18.7,89.60000000000001
8.999534,10,1,16.400000000000002,88.0
8.999534,10,2,31.400000000000002,55.6
8.999534,10,3,35.6,55.5
8.999534,10,4,20.5,66.2
8.999534,10,5,27.900000000000002,61.300000000000004
10.001284,11,0,18.5,89.7
10.001284,11,1,16.0,88.10000000000001
10.001284,11,2,15.3,68.0
10.001284,11,3,37.4,55.1
10.001284,11,4,24.5,57.7
11.000975,12,0,18.8,89.5
11.000975,12,1,16.2,88.7
11.000975,12,2,35.7,57.900000000000006
11.000975,12,3,24.900000000000002,62.300000000000004
11.991996,13,0,19.400000000000002,88.80000000000001
11.991996,13,1,38.0,54.900000000000006
11.991996,13,2,30.400000000000002,56.5
12.983499,14,0,19.1,89.10000000000001
12.983499,14,1,31.0,55.6
14.002677,15,0,19.400000000000002,88.80000000000001
14.002677,15,1,15.700000000000001,88.30000000000001
14.002677,15,2,23.1,55.900000000000006
14.990108,16,0,19.3,88.9
14.990108,16,1,15.100000000000001,88.5
14.990108,16,2,26.6,55.800000000000004
16.000619,17,0,19.1,89.2
16.000619,17,1,15.100000000000001,89.10000000000001
16.000619,17,2,20.5,55.800000000000004
16.986975,18,0,19.0,89.2
16.986975,18,1,15.700000000000001,88.60000000000001
16.986975,18,2,25.1,57.900000000000006
16.986975,18,3,20.3,63.900000000000006
16.986975,18,4,20.3,63.900000000000006
16.986975,18,5,30.8,56.300000000000004
