timestamp,frame_number,point_index,snr,noise
2025-10-10 01:32:17.547,1,0,15.9,92.5
2025-10-10 01:32:17.547,1,1,40.800000000000004,57.300000000000004
2025-10-10 01:32:17.547,1,2,36.1,57.1
2025-10-10 01:32:17.547,1,3,40.900000000000006,54.7
2025-10-10 01:32:17.547,1,4,40.900000000000006,54.7
2025-10-10 01:32:17.547,1,5,49.900000000000006,55.400000000000006
2025-10-10 01:32:17.547,1,6,18.1,56.300000000000004
2025-10-10 01:32:18.539,2,0,15.8,87.10000000000001
2025-10-10 01:32:18.539,2,1,15.9,92.30000000000001
2025-10-10 01:32:18.539,2,2,48.6,53.800000000000004
2025-10-10 01:32:18.539,2,3,26.0,67.9
2025-10-10 01:32:18.539,2,4,34.800000000000004,59.7
2025-10-10 01:32:18.539,2,5,39.2,55.7
2025-10-10 01:32:18.539,2,6,37.1,53.6
2025-10-10 01:32:19.557,3,0,15.9,92.4
2025-10-10 01:32:19.557,3,1,37.5,56.900000000000006
2025-10-10 01:32:19.557,3,2,37.5,56.900000000000006
2025-10-10 01:32:19.557,3,3,41.1,53.5
2025-10-10 01:32:19.557,3,4,28.1,64.10000000000001
2025-10-10 01:32:19.557,3,5,22.6,62.900000000000006
2025-10-10 01:32:19.557,3,6,19.1,55.400000000000006
2025-10-10 01:32:20.538,4,0,15.8,92.5
2025-10-10 01:32:20.538,4,1,15.4,79.80000000000001
2025-10-10 01:32:20.538,4,2,17.7,66.8
2025-10-10 01:32:20.538,4,3,17.7,66.8
2025-10-10 01:32:20.538,4,4,30.700000000000003,56.2
2025-10-10 01:32:20.538,4,5,34.300000000000004,59.900000000000006
2025-10-10 01:32:20.538,4,6,17.7,68.3
2025-10-10 01:32:20.538,4,7,17.7,68.3
2025-10-10 01:32:20.538,4,8,31.6,56.300000000000004
2025-10-10 01:32:20.538,4,9,32.7,57.6
2025-10-10 01:32:20.538,4,10,29.400000000000002,56.7
2025-10-10 01:32:21.544,5,0,16.0,92.4
2025-10-10 01:32:21.544,5,1,16.2,66.4
2025-10-10 01:32:21.544,5,2,16.2,66.4
2025-10-10 01:32:21.544,5,3,34.4,55.1
2025-10-10 01:32:21.544,5,4,29.8,57.7
2025-10-10 01:32:22.541,6,0,16.0,92.30000000000001
2025-10-10 01:32:22.541,6,1,25.1,63.1
2025-10-10 01:32:22.541,6,2,23.400000000000002,64.8
2025-10-10 01:32:22.541,6,3,31.8,55.800000000000004
2025-10-10 01:32:22.541,6,4,31.400000000000002,57.5
2025-10-10 01:32:22.541,6,5,21.5,63.0
2025-10-10 01:32:23.531,7,0,15.8,92.5
2025-10-10 01:32:23.531,7,1,29.900000000000002,56.7
