frame_number,point_index,x,y,z,doppler,range
2,0,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
2,1,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
3,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
3,1,-0.39493730664253235,3.1904263496398926,0.0,0.0,3.214777716834336
3,2,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
3,3,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
3,4,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
4,0,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
4,1,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
5,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
6,0,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
6,1,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
7,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
7,1,-0.39493730664253235,3.1904263496398926,0.0,0.0,3.214777716834336
7,2,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
9,0,-1.5402555465698242,3.5369081497192383,0.0,0.0,3.857733325191034
10,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
10,1,-0.4936716556549072,3.1766467094421387,0.0,0.0,3.2147777559586643
10,2,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
10,3,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
12,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
12,1,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
12,2,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
13,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
13,1,0.8293683528900146,3.767526149749756,0.0,0.0,3.857733162599989
13,2,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
14,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
14,1,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
14,2,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
15,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
15,1,-0.39493730664253235,3.1904263496398926,0.0,0.0,3.214777716834336
15,2,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
16,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
16,1,-0.39493730664253235,3.1904263496398926,0.0,0.0,3.214777716834336
16,2,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
17,0,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
17,1,-0.39493730664253235,6.417414665222168,0.0,0.0,6.4295556970592145
18,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
18,1,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
19,0,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
19,1,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
20,0,-1.5402555465698242,3.5369081497192383,0.0,0.0,3.857733325191034
20,1,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
20,2,-0.39493730664253235,6.417414665222168,0.0,0.0,6.4295556970592145
21,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
22,0,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
22,1,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
23,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
23,1,3.3569672107696533,5.483607769012451,0.0,0.0,6.429555429308958
24,0,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
24,1,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
24,2,-0.5924059748649597,6.402205944061279,0.0,0.0,6.429555644772761
25,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
25,1,-0.4936716556549072,3.1766467094421387,0.0,0.0,3.2147777559586643
25,2,-1.4217743873596191,3.586176633834839,0.0,0.0,3.8577331760523297
25,3,3.159498453140259,5.599709987640381,0.0,0.0,6.429555382845312
