timestamp_s,frame_number,range_bin,doppler_bin,signal_strength
0.0,1,0,0,3791
0.0,1,0,1,3564
0.0,1,0,2,2402
0.0,1,0,3,2279
0.0,1,0,4,2140
0.0,1,0,5,1950
0.0,1,0,6,2122
0.0,1,0,7,1999
0.0,1,0,8,2043
0.0,1,0,9,2022
0.0,1,0,10,1926
0.0,1,0,11,2080
0.0,1,0,12,2088
0.0,1,0,13,2248
0.0,1,0,14,2416
0.0,1,0,15,3563
0.0,1,1,0,4299
0.0,1,1,1,4072
0.0,1,1,2,2947
0.0,1,1,3,2585
0.0,1,1,4,2492
0.0,1,1,5,2115
0.0,1,1,6,2204
0.0,1,1,7,2118
0.0,1,1,8,1943
0.0,1,1,9,1841
0.0,1,1,10,2180
0.0,1,1,11,2089
0.0,1,1,12,2471
0.0,1,1,13,2632
0.0,1,1,14,2911
0.0,1,1,15,4076
0.0,1,2,0,4616
0.0,1,2,1,4386
0.0,1,2,2,3254
0.0,1,2,3,2883
0.0,1,2,4,2630
0.0,1,2,5,2268
0.0,1,2,6,2327
0.0,1,2,7,2192
0.0,1,2,8,1954
0.0,1,2,9,1984
0.0,1,2,10,2382
0.0,1,2,11,2391
0.0,1,2,12,2629
0.0,1,2,13,2827
0.0,1,2,14,3269
0.0,1,2,15,4388
0.0,1,3,0,4537
0.0,1,3,1,4317
0.0,1,3,2,3202
0.0,1,3,3,2766
0.0,1,3,4,2634
0.0,1,3,5,2365
0.0,1,3,6,2076
0.0,1,3,7,2250
0.0,1,3,8,2075
0.0,1,3,9,2101
0.0,1,3,10,2200
0.0,1,3,11,2403
0.0,1,3,12,2603
0.0,1,3,13,2801
0.0,1,3,14,3184
0.0,1,3,15,4318
0.0,1,4,0,4109
0.0,1,4,1,3891
0.0,1,4,2,2767
0.0,1,4,3,2287
0.0,1,4,4,2259
0.0,1,4,5,2258
0.0,1,4,6,2112
0.0,1,4,7,2165
0.0,1,4,8,2066
0.0,1,4,9,2174
0.0,1,4,10,2194
0.0,1,4,11,2154
0.0,1,4,12,2185
0.0,1,4,13,2450
0.0,1,4,14,2741
0.0,1,4,15,3890
0.0,1,5,0,3818
0.0,1,5,1,3596
0.0,1,5,2,2322
0.0,1,5,3,2161
0.0,1,5,4,2327
0.0,1,5,5,2187
0.0,1,5,6,2169
0.0,1,5,7,1971
0.0,1,5,8,1999
0.0,1,5,9,2179
0.0,1,5,10,2172
0.0,1,5,11,2018
0.0,1,5,12,2152
0.0,1,5,13,2287
0.0,1,5,14,2407
0.0,1,5,15,3597
0.0,1,6,0,3341
0.0,1,6,1,3127
0.0,1,6,2,1919
0.0,1,6,3,2069
0.0,1,6,4,2220
0.0,1,6,5,2102
0.0,1,6,6,1970
0.0,1,6,7,2023
0.0,1,6,8,2102
0.0,1,6,9,2177
0.0,1,6,10,2012
0.0,1,6,11,2046
0.0,1,6,12,2177
0.0,1,6,13,2212
0.0,1,6,14,2101
0.0,1,6,15,3087
0.0,1,7,0,3091
0.0,1,7,1,2872
0.0,1,7,2,2167
0.0,1,7,3,2075
0.0,1,7,4,2095
0.0,1,7,5,2035
0.0,1,7,6,1864
0.0,1,7,7,1879
0.0,1,7,8,2190
0.0,1,7,9,2168
0.0,1,7,10,1884
0.0,1,7,11,1917
0.0,1,7,12,2046
0.0,1,7,13,1992
0.0,1,7,14,1886
0.0,1,7,15,2830
0.0,1,8,0,2477
0.0,1,8,1,2340
0.0,1,8,2,2249
0.0,1,8,3,2180
0.0,1,8,4,2038
0.0,1,8,5,2232
0.0,1,8,6,1969
0.0,1,8,7,2207
0.0,1,8,8,2130
0.0,1,8,9,2039
0.0,1,8,10,1969
0.0,1,8,11,1941
0.0,1,8,12,2021
0.0,1,8,13,1994
0.0,1,8,14,1929
0.0,1,8,15,2096
0.0,1,9,0,2291
0.0,1,9,1,2234
0.0,1,9,2,2076
0.0,1,9,3,1985
0.0,1,9,4,2005
0.0,1,9,5,2262
0.0,1,9,6,2165
0.0,1,9,7,2246
0.0,1,9,8,2126
0.0,1,9,9,2145
0.0,1,9,10,2014
0.0,1,9,11,1767
0.0,1,9,12,2067
0.0,1,9,13,1987
0.0,1,9,14,1970
0.0,1,9,15,2161
0.0,1,10,0,2279
0.0,1,10,1,1937
0.0,1,10,2,2120
0.0,1,10,3,2080
0.0,1,10,4,2191
0.0,1,10,5,2306
0.0,1,10,6,2377
0.0,1,10,7,2272
0.0,1,10,8,2121
0.0,1,10,9,2215
0.0,1,10,10,2108
0.0,1,10,11,2121
0.0,1,10,12,2024
0.0,1,10,13,2146
0.0,1,10,14,2120
0.0,1,10,15,2253
0.0,1,11,0,2366
0.0,1,11,1,2229
0.0,1,11,2,2022
0.0,1,11,3,2107
0.0,1,11,4,2197
0.0,1,11,5,2194
0.0,1,11,6,2242
0.0,1,11,7,2244
0.0,1,11,8,2030
0.0,1,11,9,2192
0.0,1,11,10,2186
0.0,1,11,11,2034
0.0,1,11,12,1935
0.0,1,11,13,1960
0.0,1,11,14,2193
0.0,1,11,15,2253
0.0,1,12,0,2594
0.0,1,12,1,2403
0.0,1,12,2,2072
0.0,1,12,3,1944
0.0,1,12,4,2059
0.0,1,12,5,2028
0.0,1,12,6,1962
0.0,1,12,7,2065
0.0,1,12,8,2092
0.0,1,12,9,1971
0.0,1,12,10,2067
0.0,1,12,11,2128
0.0,1,12,12,2055
0.0,1,12,13,2071
0.0,1,12,14,2048
0.0,1,12,15,2392
0.0,1,13,0,2544
0.0,1,13,1,2316
0.0,1,13,2,2070
0.0,1,13,3,1928
0.0,1,13,4,2019
0.0,1,13,5,2041
0.0,1,13,6,1903
0.0,1,13,7,1995
0.0,1,13,8,2048
0.0,1,13,9,2069
0.0,1,13,10,1991
0.0,1,13,11,2135
0.0,1,13,12,2161
0.0,1,13,13,2073
0.0,1,13,14,1893
0.0,1,13,15,2325
0.0,1,14,0,2347
0.0,1,14,1,2195
0.0,1,14,2,2002
0.0,1,14,3,2032
0.0,1,14,4,2063
0.0,1,14,5,2053
0.0,1,14,6,2085
0.0,1,14,7,2009
0.0,1,14,8,2074
0.0,1,14,9,2159
0.0,1,14,10,2161
0.0,1,14,11,2177
0.0,1,14,12,2077
0.0,1,14,13,2206
0.0,1,14,14,1997
0.0,1,14,15,2153
0.0,1,15,0,2264
0.0,1,15,1,2224
0.0,1,15,2,1975
0.0,1,15,3,1974
0.0,1,15,4,1986
0.0,1,15,5,1844
0.0,1,15,6,1971
0.0,1,15,7,2027
0.0,1,15,8,2025
0.0,1,15,9,2088
0.0,1,15,10,2130
0.0,1,15,11,2125
0.0,1,15,12,2171
0.0,1,15,13,2148
0.0,1,15,14,2078
0.0,1,15,15,2249
0.0,1,16,0,2520
0.0,1,16,1,2287
0.0,1,16,2,2046
0.0,1,16,3,1996
0.0,1,16,4,2025
0.0,1,16,5,2042
0.0,1,16,6,2167
0.0,1,16,7,2064
0.0,1,16,8,2072
0.0,1,16,9,2152
0.0,1,16,10,2114
0.0,1,16,11,2087
0.0,1,16,12,2073
0.0,1,16,13,2010
0.0,1,16,14,2021
0.0,1,16,15,2380
0.0,1,17,0,2602
0.0,1,17,1,2390
0.0,1,17,2,2155
0.0,1,17,3,2111
0.0,1,17,4,2014
0.0,1,17,5,2116
0.0,1,17,6,2186
0.0,1,17,7,1980
0.0,1,17,8,2041
0.0,1,17,9,2016
0.0,1,17,10,2085
0.0,1,17,11,2207
0.0,1,17,12,2123
