Model,Accuracy,F1-Score,CV Mean,CV Std
K-Nearest Neighbors,0.5357142857142857,0.49555206698063836,0.54,0.11623730516108462
Extra Trees,0.5,0.49098124098124096,0.4933333333333333,0.09752492558885192
SVM (Linear),0.5,0.4993506493506493,0.4866666666666667,0.20504741998972933
Naive Bayes,0.4642857142857143,0.47619047619047616,0.4600000000000001,0.2506879423595089
Gradient Boosting,0.4642857142857143,0.4555555555555556,0.45999999999999996,0.11623730516108462
Random Forest,0.4642857142857143,0.4445554445554446,0.4533333333333334,0.21354156504062624
SVM (RBF),0.4642857142857143,0.4592907092907093,0.4533333333333333,0.15289793254906286
Logistic Regression,0.4642857142857143,0.45044479330193615,0.4533333333333333,0.15289793254906284
AdaBoost,0.39285714285714285,0.36821266968325794,0.3933333333333333,0.2048305532764962
Decision Tree,0.35714285714285715,0.34183673469387754,0.3533333333333334,0.14391355429948602
SVM (Poly),0.21428571428571427,0.17222222222222222,0.22000000000000003,0.139204086785474
